DATETIME;SECOND;PASSED_SECONDS;PASSED_MSECONDS;P_1B;P_1C;P_2A;P_2B;P_2C;P_3B;P_3C;P_4A;P_4B;P_4C;P_5B;P_5C;P_6A;P_6B;P_6C;P_7B;P_7C;P_8A;P_8B;P_8C;P_9B;P_9C;T_1;T_2;T_3;T_4;T_5;T_6;T_7;T_8;T_9;LC_1;LC_2;LC_3
2015-06-24 11:30:00;33;2020;2021671;-0.242;0.085;-0.02;0.017;-0.032;-0.043;-0.062;-0.133;0.015;-0.021;0.011;-0.039;0.155;0.13;-0.026;-0.023;-0.007;0.029;0.019;-0.102;-0.037;0.074;19.225;18.964;18.861;18.809;18.938;18.818;18.854;18.853;18.774;18.892;9.781;-142.238
2015-06-24 11:40:00;3;2530;2531671;-0.24;0.081;-0.027;0.043;-0.049;-0.05;-0.076;-0.143;0.006;0.037;0.064;-0.051;0.148;0.124;-0.02;-0.02;-0.031;-0.007;0.028;-0.092;-0.039;0.077;19.904;19.636;19.332;19.209;19.402;19.107;19.147;19.18;19.03;19.023;8.657;-142.572
2015-06-24 11:50:00;13;3140;3141671;-0.2;0.084;-0.089;0.045;-0.09;-0.081;-0.098;-0.148;-0.036;0.038;0.08;-0.045;0.121;0.127;0.024;-0.032;-0.047;-0.026;0.011;-0.106;-0.033;0.047;20.146;19.831;19.552;19.382;19.624;19.258;19.291;19.38;19.192;18.953;4.284;-142.414
2015-06-24 12:00:00;3;3730;3731671;-0.013;-0.009;-0.002;0.001;-0.007;-0.036;0.024;0.003;0.011;-0.023;-0.006;-0.007;0.009;0.012;-0.014;-0.008;-0.011;-0.004;-0.009;-0.013;-0.009;0.018;20.377;19.96;19.669;19.455;19.774;19.332;19.358;19.497;19.306;1.534;-1.002;2.814
2015-06-24 12:10:00;23;4350;4351671;8.162;8.395;7.585;6.773;7.061;6.789;6.424;0.149;5.41;5.29;4.198;4.706;3.608;3.804;3.61;2.49;2.312;1.495;1.621;1.847;0.535;0.703;22.435;22.206;22.269;22.091;21.653;21.343;21.024;20.904;20.495;846.539;951.542;756.143
2015-06-24 12:20:00;3;4930;4931671;8.078;8.444;7.502;6.721;7.011;6.759;6.339;0.164;5.284;5.185;4.054;4.656;3.531;3.89;3.514;2.38;2.098;1.368;1.707;1.776;0.392;0.736;22.609;22.657;23.038;23.012;22.465;22.442;22.159;21.888;21.614;931.776;833.618;829.952
2015-06-24 12:30:00;23;5550;5551671;8.079;8.431;7.453;6.681;6.982;6.753;6.251;0.17;5.247;5.124;3.969;4.629;3.483;3.975;3.495;2.325;1.974;1.325;1.712;1.738;0.31;0.731;22.089;22.223;22.898;23.058;22.478;22.757;22.465;22.165;21.941;924.752;832.688;827.976
2015-06-24 12:40:00;3;6130;6131671;8.059;8.428;7.464;6.669;6.973;6.732;6.224;0.171;5.233;5.112;3.977;4.582;3.447;3.975;3.456;2.301;1.909;1.287;1.71;1.711;0.288;0.711;22.002;22.206;22.914;23.207;22.628;22.99;22.709;22.346;22.138;920.764;832.507;824.763
2015-06-24 12:50:00;23;6750;6751671;8.069;8.426;7.468;6.662;6.947;6.722;6.214;0.173;5.232;5.121;3.951;4.591;3.451;4.001;3.423;2.296;1.886;1.29;1.714;1.731;0.297;0.747;22.132;22.432;23.133;23.399;22.758;23.146;22.949;22.495;22.353;918.209;834.978;823.684
2015-06-24 13:00:00;3;7330;7331671;8.105;8.433;7.432;6.7;6.951;6.714;6.212;0.202;5.212;5.119;3.941;4.601;3.433;4.048;3.43;2.3;1.879;1.272;1.692;1.728;0.299;0.772;21.82;22.267;23.125;23.341;22.801;23.155;22.898;22.505;22.36;916.43;836.803;822.993
