DATETIME;SECOND;PASSED_SECONDS;PASSED_MSECONDS;P_1B;P_1C;FL_M_2A;P_2B;P_2C;P_3B;P_3C;P_4A;P_4B;P_4C;P_5B;P_5C;P_6A;P_6B;P_6C;P_7B;P_7C;P_8A;P_8B;P_8C;P_9B;P_9C;T_1;T_2;T_3;T_4;T_5;T_6;T_7;T_8;T_9;LC_1;LC_2;LC_3
2015-09-08 09:50:00;9.0;3002.0;3002000.0;-0.231;0.069;0.0;-0.007;-0.054;-0.036;-0.042;0.014;-0.109;0.133;0.049;0.124;0.191;0.178;0.018;-0.125;-0.135;0.034;-0.117;-0.063;-0.057;0.001;18.215;17.997;17.883;17.872;18.204;18.018;18.11;18.15;18.337;60.506;-127.769;106.327
2015-09-08 09:55:00;1.0;3294.0;3294000.0;-0.228;0.077;0.0;0.013;-0.073;-0.067;-0.034;0.009;-0.136;0.116;0.022;0.125;0.217;0.177;0.028;-0.129;-0.114;0.036;-0.093;-0.064;-0.053;0.049;18.202;18.002;17.878;17.857;18.202;17.998;18.079;18.109;18.308;60.271;-127.382;106.079
2015-09-08 10:00:00;2.0;3595.0;3595000.0;-0.222;0.091;0.0;0.009;-0.071;-0.033;-0.029;0.007;-0.142;0.112;0.029;0.109;0.208;0.199;0.026;-0.11;-0.107;0.031;-0.09;-0.065;-0.091;0.018;18.286;18.075;17.959;17.926;18.271;18.062;18.137;18.164;18.357;60.154;-124.387;102.818
2015-09-08 10:05:00;3.0;3896.0;3896000.0;-0.201;0.059;0.0;0.002;-0.081;-0.102;-0.051;0.011;-0.149;0.115;0.012;0.131;0.216;0.176;0.018;-0.159;-0.133;0.02;-0.129;-0.043;-0.08;0.041;18.504;18.301;18.18;18.176;18.696;18.409;18.369;18.406;18.613;59.85;-124.241;102.73
2015-09-08 10:10:00;0.0;4193.0;4193000.0;-0.189;0.073;0.0;-0.042;-0.121;-0.076;-0.041;-0.017;-0.154;0.145;0.048;0.13;0.195;0.16;0.041;-0.227;-0.146;-0.009;-0.124;-0.055;-0.088;-0.002;18.665;18.425;18.302;18.251;18.771;18.517;18.449;18.544;18.792;59.59;-123.924;102.702
2015-09-08 10:15:00;54.0;4547.0;4547000.0;-0.225;0.078;0.0;-0.071;-0.128;-0.106;-0.041;-0.007;-0.207;0.142;0.042;0.134;0.189;0.146;0.029;-0.225;-0.158;-0.043;-0.112;-0.055;-0.105;0.018;18.709;18.456;18.355;18.286;18.894;18.558;18.529;18.62;18.869;59.321;-123.852;102.641
2015-09-08 10:20:00;7.0;4800.0;4800000.0;-0.206;0.078;0.0;-0.082;-0.13;-0.097;-0.027;0.011;-0.169;0.143;0.055;0.149;0.163;0.145;-0.001;-0.223;-0.144;-0.05;-0.095;-0.071;-0.124;-0.018;18.827;18.578;18.442;18.41;19.157;18.725;18.664;18.754;19.08;59.406;-123.637;102.668
2015-09-08 10:25:00;17.0;5110.0;5110000.0;-0.191;0.085;0.0;-0.123;-0.133;-0.122;-0.04;0.002;-0.166;0.139;0.038;0.165;0.2;0.15;0.03;-0.212;-0.169;-0.048;-0.097;-0.086;-0.126;-0.003;18.894;18.673;18.565;18.551;19.324;18.819;18.81;18.832;19.218;59.061;-123.358;102.588
2015-09-08 10:30:00;5.0;5398.0;5398000.0;0.598;0.222;0.0;-0.012;-0.077;-0.055;0.021;-0.006;-0.174;0.203;0.099;0.229;0.226;0.223;0.098;-0.187;-0.087;-0.019;-0.081;0.011;-0.077;0.032;18.991;18.728;18.616;18.563;19.428;18.98;18.859;18.999;19.346;190.013;-31.24;280.192
2015-09-08 10:35:00;1.0;5694.0;5694000.0;8.186;8.915;0.0;7.032;7.671;6.971;6.389;0.035;5.042;5.227;4.267;4.687;3.743;4.053;3.719;2.128;1.66;1.552;1.177;1.478;0.33;0.597;23.608;22.207;22.184;21.926;21.477;21.387;21.324;21.276;21.087;807.795;891.448;933.522
