DATETIME;PASSED_SECONDS;PASSED_MSECONDS;P_1B;P_1C;FL_M_2A;P_2B;P_2C;P_3B;P_3C;P_4A;P_4B;P_4C;P_5B;P_5C;P_6A;P_6B;P_6C;P_7B;P_7C;P_8A;P_8B;P_8C;P_9B;P_9C;T_1;T_2;T_3;T_4;T_5;T_6;T_7;T_8;T_9;LC_1;LC_2;LC_3
2015-10-05 10:59:36;3000;3000967;0.113;0.002;1.85;0.057;-0.007;-0.035;0.007;-0.009;0.018;0.009;-0.036;0.048;0.073;0.148;0.061;-0.091;0.105;0.047;0.01;0.022;0.001;-0.031;21.115;21.104;20.934;20.875;20.999;20.974;21.029;21.133;21.275;-91.582;-1.571;129.399
2015-10-05 10:59:37;3001;3001967;0.103;-0.005;1.86;0.075;0.0;-0.036;-0.003;0.003;0.003;0.011;-0.028;0.036;0.076;0.157;0.057;-0.083;0.103;0.056;0.0;0.024;0.0;-0.036;21.123;21.105;20.936;20.879;21.009;20.978;21.029;21.132;21.275;-91.724;-1.547;129.304
2015-10-05 10:59:38;3002;3002967;0.109;0.001;1.87;0.062;-0.003;-0.022;0.017;-0.015;0.011;0.02;-0.019;0.047;0.07;0.172;0.064;-0.089;0.092;0.051;-0.002;0.01;-0.005;-0.041;21.116;21.106;20.93;20.875;21.007;20.983;21.037;21.127;21.279;-91.67;-1.548;129.434
2015-10-05 10:59:39;3003;3003967;0.121;0.0;1.88;0.063;-0.003;-0.019;0.003;-0.011;0.003;0.008;-0.019;0.048;0.089;0.177;0.068;-0.076;0.096;0.06;-0.008;0.019;-0.014;-0.034;21.116;21.1;20.939;20.874;21.005;20.973;21.019;21.128;21.276;-91.766;-1.56;129.445
2015-10-05 10:59:40;3004;3004967;0.106;0.0;1.88;0.051;-0.009;-0.019;-0.011;-0.001;0.013;0.001;-0.013;0.044;0.075;0.161;0.051;-0.082;0.099;0.067;-0.009;0.029;-0.009;-0.061;21.124;21.105;20.943;20.878;21.015;20.972;21.032;21.136;21.287;-91.672;-1.596;129.416
2015-10-05 10:59:41;3005;3005967;0.114;-0.006;1.9;0.046;-0.002;-0.038;-0.004;-0.021;0.015;-0.002;-0.026;0.051;0.077;0.138;0.073;-0.081;0.108;0.058;0.004;0.021;-0.018;-0.025;21.113;21.098;20.934;20.872;20.997;20.972;21.014;21.137;21.274;-91.742;-1.586;129.354
2015-10-05 10:59:42;3006;3006967;0.112;-0.006;1.89;0.047;0.001;-0.041;-0.009;-0.009;0.002;0.024;-0.015;0.053;0.066;0.143;0.068;-0.084;0.093;0.058;0.01;0.028;-0.013;-0.045;21.116;21.107;20.931;20.872;20.995;20.988;21.033;21.141;21.275;-91.613;-1.576;129.4
2015-10-05 10:59:43;3007;3007967;0.126;0.0;1.88;0.061;0.008;-0.027;-0.006;-0.003;0.009;0.017;-0.03;0.049;0.083;0.15;0.05;-0.104;0.112;0.052;0.013;0.038;-0.018;-0.032;21.119;21.101;20.931;20.873;21.001;20.977;21.025;21.135;21.269;-91.573;-1.556;129.486
2015-10-05 10:59:44;3008;3008967;0.129;0.001;1.9;0.06;0.006;-0.044;-0.02;-0.026;-0.004;-0.017;-0.037;0.039;0.068;0.142;0.058;-0.086;0.091;0.063;0.001;0.023;-0.032;-0.03;21.117;21.104;20.927;20.861;21.003;20.978;21.034;21.143;21.27;-91.726;-1.697;129.396
2015-10-05 10:59:45;3009;3009967;0.114;0.004;1.93;0.071;-0.001;-0.03;-0.003;-0.025;0.01;0.018;-0.03;0.05;0.075;0.152;0.076;-0.08;0.108;0.054;0.001;0.024;-0.017;-0.041;21.116;21.091;20.916;20.867;21.005;20.966;21.017;21.13;21.263;-91.661;-1.645;129.473
