DATETIME;SECOND;PASSED_SECONDS;PASSED_MSECONDS;P_1B;P_GAS_1C;FL_M_2A;P_2B;P_2C;P_3A;P_3B;P_3C;P_4A;P_4B;P_4C;P_5B;P_5C;P_6A;P_6B;P_6C;P_7B;P_7C;P_8A;P_8B;P_8C;P_9B;P_9C;T_1;T_2;T_3;T_4;T_5;T_6;T_7;T_8;T_9;LC_1;LC_2;LC_3
2015-11-24 10:40:00;2;4001;4001569;0.019;0.08259999999999999;25.84;-0.024;0.123;0.138;-0.065;-0.028;0.321;0.186;-0.098;0.066;-0.12;0.064;-0.838;0.123;-0.062;0.394;-0.257;0.104;-0.005;-0.068;0.373;23.083;22.756;22.823;22.754;22.966;23.036;22.965;23.307;23.435;77.674;-132.316;107.447
2015-11-24 10:50:00;0;4239;4239569;0.034;0.0721;11.71;-0.037;0.095;0.165;-0.084;-0.019;0.328;0.15;-0.094;0.066;-0.106;0.061;-0.858;0.091;-0.085;0.378;-0.27;0.107;0.0;-0.071;0.397;23.196;22.838;22.93;22.821;23.053;23.107;23.011;23.361;23.528;77.326;-132.106;107.002
2015-11-24 11:00:00;0;4839;4839569;0.028;0.0455;11.01;-0.061;0.099;0.213;-0.101;-0.046;0.348;0.144;-0.099;0.077;-0.108;0.059;-0.866;0.131;-0.136;0.341;-0.299;0.128;-0.001;-0.104;0.381;23.422;23.023;23.098;22.995;23.235;23.294;23.151;23.518;23.69;70.541;-168.616;197.384
2015-11-24 11:10:00;0;5439;5439569;8.019;7.1259999999999994;224.04;7.339;7.153;5.049;6.521;5.909;0.307;4.767;4.476;3.617;3.805;3.554;2.985;3.486;1.393;1.831;1.431;1.015;1.672;0.134;1.208;27.355;27.681;28.262;28.615;28.373;28.186;28.641;27.512;27.019;490.0;490.0;490.0
2015-11-24 11:20:00;0;6039;6039569;8.035;7.130899999999999;398.76;7.234;7.167;5.097;6.417;5.928;0.344;4.722;4.615;3.767;3.856;3.567;2.975;3.454;1.47;1.883;1.205;1.041;1.507;0.023;1.027;27.365;27.876;27.877;28.14;27.907;27.832;28.151;27.415;27.208;490.0;490.0;490.0
2015-11-24 11:30:00;0;6639;6639569;7.977;5.7904;528.92;7.178;7.129;4.978;6.408;5.971;0.362;4.709;4.579;3.788;3.889;3.179;2.858;3.343;1.297;1.68;1.049;0.954;1.354;-0.127;0.809;27.706;28.02;27.991;28.161;28.003;27.858;28.206;27.341;26.895;490.0;490.0;490.0
2015-11-24 11:40:00;0;7239;7239569;7.974;5.7547;630.88;7.164;7.127;4.933;6.391;5.944;0.389;4.722;4.595;3.728;3.854;3.17;2.83;3.292;1.31;1.652;1.011;0.86;1.319;-0.192;0.792;27.857;27.935;27.9;28.013;27.866;27.768;28.063;27.15;26.61;490.0;490.0;490.0
2015-11-24 11:50:00;0;7839;7839569;7.945;5.8128;729.36;7.168;7.161;4.918;6.406;5.921;0.347;4.754;4.572;3.68;3.797;3.179;2.845;3.265;1.29;1.665;1.038;0.828;1.263;-0.191;0.799;28.11;28.1;27.974;28.028;27.88;27.767;28.172;27.377;26.889;490.0;490.0;490.0
2015-11-24 12:00:00;0;8439;8439569;7.922;5.893999999999999;819.16;7.124;7.123;4.916;6.387;5.891;0.338;4.764;4.568;3.664;3.775;3.193;2.818;3.243;1.31;1.691;1.028;0.817;1.237;-0.162;0.794;27.985;28.035;27.876;27.944;27.673;27.549;28.074;27.277;26.563;490.0;490.0;490.0
2015-11-24 12:10:00;0;9039;9039569;7.913;6.0417;899.64;7.141;7.149;4.927;6.401;5.898;0.324;4.792;4.578;3.643;3.774;3.233;2.81;3.217;1.317;1.709;1.021;0.837;1.239;-0.16;0.767;28.001;27.964;27.794;27.852;27.611;27.465;27.978;27.062;26.396;490.0;490.0;490.0
2015-11-24 12:20:00;0;9639;9639569;7.909;6.3441;970.66;7.103;7.151;4.885;6.373;5.906;0.322;4.794;4.577;3.667;3.719;3.317;2.771;3.172;1.321;1.711;0.978;0.804;1.22;-0.14;0.743;27.92;27.885;27.659;27.736;27.497;27.424;27.927;27.109;26.5;490.0;490.0;490.0
2015-11-24 12:30:00;0;10239;10239569;7.89;6.036099999999999;1036.76;7.092;7.159;4.871;6.366;5.91;0.313;4.798;4.578;3.623;3.73;3.228;2.751;3.192;1.319;1.736;0.995;0.82;1.188;-0.168;0.706;27.807;27.797;27.561;27.613;27.404;27.289;27.81;27.062;26.325;490.0;490.0;490.0
2015-11-24 12:40:00;0;10839;10839569;7.832;5.8961;1098.8;7.067;7.12;4.832;6.315;5.85;0.317;4.792;4.524;3.619;3.669;3.18;2.715;3.115;1.331;1.675;0.983;0.79;1.154;-0.172;0.717;27.643;27.626;27.37;27.486;27.261;27.253;27.702;26.879;26.269;490.0;490.0;490.0
2015-11-24 12:50:00;0;11439;11439569;7.726;6.5373;1161.92;6.977;7.041;4.783;6.25;5.802;0.311;4.746;4.467;3.568;3.596;3.337;2.671;3.076;1.296;1.691;0.942;0.756;1.13;-0.167;0.705;27.741;27.698;27.417;27.496;27.247;27.231;27.676;26.881;26.216;490.0;490.0;490.0
2015-11-24 13:00:00;0;12039;12039569;7.678;6.5975;1215.43;6.896;6.957;4.685;6.14;5.708;0.317;4.653;4.37;3.476;3.499;3.34;2.614;2.985;1.213;1.641;0.872;0.727;1.085;-0.172;0.679;27.687;27.689;27.402;27.445;27.189;27.059;27.592;26.823;26.152;490.0;490.0;490.0
2015-11-24 13:10:00;0;12639;12639569;7.572;6.5786;1262.36;6.794;6.899;4.541;6.039;5.619;0.311;4.473;4.218;3.315;3.317;3.315;2.473;2.869;1.141;1.578;0.815;0.704;1.059;-0.208;0.66;27.607;27.613;27.324;27.393;27.125;27.107;27.546;26.842;26.105;490.0;490.0;490.0
2015-11-24 13:20:00;0;13239;13239569;7.528;6.540799999999999;1307.76;6.836;6.995;4.525;5.996;5.591;0.292;4.473;4.215;3.311;3.288;3.294;2.437;2.888;1.172;1.581;0.801;0.723;1.029;-0.192;0.641;27.57;27.585;27.292;27.337;27.126;27.063;27.474;26.718;26.001;490.0;490.0;490.0
2015-11-24 13:30:00;0;13839;13839569;6.687;6.6108;1343.09;6.222;6.319;4.078;5.476;5.101;0.289;3.884;3.656;2.77;2.73;3.158;1.935;2.363;0.824;1.251;0.66;0.5;0.863;-0.196;0.609;27.472;27.491;27.204;27.283;27.129;27.167;27.467;26.729;25.986;490.0;490.0;490.0
2015-11-24 13:40:00;0;14439;14439569;6.562;6.011599999999999;1371.8;6.117;6.256;4.17;5.55;5.269;0.301;4.046;3.826;2.977;2.95;2.958;2.055;2.473;0.969;1.28;0.644;0.52;0.875;-0.191;0.597;27.404;27.409;27.165;27.268;27.043;27.142;27.445;26.743;26.079;490.0;490.0;490.0
2015-11-24 13:50:00;0;15039;15039569;6.215;5.939499999999999;1408.61;5.895;6.032;4.156;5.453;5.271;0.314;3.916;3.815;2.94;2.939;2.873;2.043;2.447;1.011;1.298;0.656;0.561;0.898;-0.178;0.602;27.515;27.516;27.217;27.311;27.071;27.152;27.478;26.707;26.004;490.0;490.0;490.0
