DATETIME;SECOND;PASSED_SECONDS;PASSED_MSECONDS;P_1B;P_GAS;FL_M_2A;P_2B;P_2C;P_3B;P_3C;P_4A;P_4B;P_4C;P_5B;P_5C;P_6A;P_6B;P_6C;P_7B;P_7C;P_8A;P_8B;P_8C;P_9B;P_9C;T_1;T_2;T_3;T_4;T_5;T_6;T_7;T_8;T_9;LC_1;LC_2;LC_3
2015-12-11 10:54:00;13;3001;3001868;-0.065;18.839;0.0;-0.04;-0.115;-0.072;-0.024;0.007;-0.139;0.001;0.137;0.062;0.006;-0.052;-0.012;-0.093;-0.154;-0.133;0.017;0.0;-0.108;-0.024;26.59;26.401;26.328;26.295;26.448;26.429;26.427;26.657;26.722;-39.44;-123.258;158.0
2015-12-11 10:57:00;1;3109;3109868;-0.054;18.934;-0.06;-0.035;-0.106;-0.082;-0.052;0.037;-0.135;-0.001;0.116;0.069;0.011;-0.071;-0.006;-0.099;-0.166;-0.134;-0.005;0.05;-0.102;-0.044;26.601;26.41;26.342;26.29;26.45;26.415;26.412;26.615;26.684;-39.268;-123.169;157.771
2015-12-11 11:00:00;1;3289;3289868;7.518;18.914;-0.01;7.165;6.5;5.605;5.725;0.025;4.359;4.641;3.567;3.845;2.515;2.369;2.262;1.361;1.219;0.247;0.152;0.664;-0.088;0.01;27.542;27.279;27.046;26.956;27.022;26.888;26.718;26.656;26.757;722.168;675.738;996.081
2015-12-11 11:03:00;1;3469;3469868;8.33;19.036;0.04;8.18;7.513;6.921;6.714;0.005;5.406;5.497;4.49;4.994;3.732;3.779;3.551;2.488;2.244;1.698;1.549;1.835;0.444;0.604;29.356;28.937;29.02;28.913;28.799;28.582;28.497;28.179;27.888;750.335;926.655;1000.256
2015-12-11 11:06:00;1;3649;3649868;8.18;19.272;26.29;8.04;7.324;6.867;6.621;0.006;5.164;5.31;4.316;4.861;3.643;3.845;3.483;2.352;2.087;1.697;1.445;1.759;0.357;0.559;29.845;29.616;29.74;29.685;29.53;29.362;29.253;28.81;28.546;797.21;894.514;950.543
2015-12-11 11:09:00;1;3829;3829868;8.063;9.156;31.09;7.894;7.174;6.785;6.491;0.017;5.024;5.107;4.152;4.71;3.474;3.757;3.298;2.121;1.87;1.478;1.168;1.591;0.116;0.378;29.926;29.9;30.076;30.107;29.843;29.866;29.662;29.234;28.933;788.833;886.868;941.885
2015-12-11 11:12:00;1;4009;4009868;8.056;6.793;34.18;7.819;7.154;6.765;6.428;0.034;4.966;5.038;4.108;4.68;3.461;3.758;3.389;2.086;1.766;1.505;1.119;1.556;0.071;0.402;30.083;29.928;30.445;30.469;30.016;30.258;30.071;29.506;29.043;786.658;884.977;939.449
2015-12-11 11:15:00;1;4189;4189868;8.024;6.924;36.92;7.776;7.132;6.739;6.381;0.008;4.946;4.958;4.064;4.696;3.44;3.762;3.424;2.069;1.727;1.489;1.118;1.531;0.072;0.282;29.952;29.858;30.508;30.602;30.091;30.379;30.267;29.69;29.21;784.93;883.492;937.521
2015-12-11 11:18:00;1;4369;4369868;8.014;7.05;39.32;7.733;7.098;6.717;6.348;0.006;4.927;4.95;4.023;4.662;3.424;3.789;3.411;2.027;1.707;1.463;1.091;1.502;0.077;0.289;30.0;29.975;30.625;30.718;30.216;30.512;30.448;29.806;29.406;782.818;881.413;935.301
2015-12-11 11:21:00;1;4549;4549868;7.999;7.011;41.44;7.69;7.047;6.685;6.305;0.026;4.898;4.899;3.992;4.651;3.391;3.763;3.411;1.994;1.69;1.449;1.085;1.501;0.045;0.284;30.03;30.117;30.741;30.815;30.309;30.58;30.537;29.876;29.59;780.207;879.011;932.697
2015-12-11 11:24:00;1;4729;4729868;7.966;7.021;43.53;7.63;7.04;6.644;6.262;0.012;4.864;4.875;3.961;4.64;3.387;3.75;3.415;1.999;1.669;1.456;1.093;1.484;0.025;0.29;30.14;30.349;30.725;30.847;30.411;30.631;30.626;30.049;29.854;777.27;876.112;929.712
2015-12-11 11:27:00;1;4909;4909868;7.941;7.074;45.43;7.593;6.975;6.598;6.205;0.017;4.804;4.853;3.92;4.6;3.35;3.72;3.386;1.957;1.65;1.418;1.099;1.479;0.03;0.247;30.226;30.442;30.821;30.939;30.478;30.727;30.722;30.106;29.919;773.936;872.823;926.157
2015-12-11 11:30:00;3;5091;5091868;7.913;7.095;47.33;7.527;6.951;6.572;6.189;0.004;4.779;4.815;3.901;4.583;3.324;3.719;3.354;1.937;1.606;1.404;1.105;1.48;0.021;0.265;30.115;30.432;30.765;30.853;30.501;30.701;30.682;30.233;29.986;770.386;869.232;922.62
2015-12-11 11:33:00;1;5269;5269868;7.881;7.079;48.93;7.482;6.956;6.541;6.151;0.04;4.766;4.776;3.857;4.561;3.307;3.712;3.359;1.935;1.586;1.394;1.1;1.442;0.027;0.286;30.004;30.168;30.748;30.902;30.532;30.742;30.707;29.894;29.423;766.907;865.689;919.252
2015-12-11 11:36:00;1;5449;5449868;7.866;7.116;50.47;7.445;6.932;6.539;6.142;0.038;4.782;4.786;3.853;4.559;3.285;3.711;3.37;1.921;1.599;1.397;1.095;1.466;0.041;0.292;30.131;30.254;30.831;31.019;30.547;30.819;30.793;29.866;29.402;765.535;864.164;917.988
2015-12-11 11:39:00;1;5629;5629868;7.826;7.109;52.01;7.442;6.938;6.518;6.131;0.035;4.762;4.779;3.833;4.523;3.298;3.734;3.368;1.915;1.609;1.393;1.064;1.448;0.042;0.281;30.015;30.146;30.772;31.037;30.541;30.824;30.801;29.838;29.249;763.412;862.065;915.909
2015-12-11 11:42:00;1;5809;5809868;7.797;7.084;53.44;7.39;6.905;6.492;6.101;0.036;4.762;4.752;3.82;4.529;3.265;3.715;3.364;1.918;1.586;1.408;1.065;1.433;0.05;0.278;29.972;30.13;30.769;31.028;30.578;30.836;30.823;29.979;29.363;760.81;859.52;913.336
2015-12-11 11:45:00;1;5989;5989868;7.801;7.063;54.9;7.343;6.892;6.487;6.046;0.026;4.741;4.752;3.8;4.52;3.266;3.72;3.357;1.889;1.588;1.407;1.057;1.431;0.085;0.285;30.0;30.157;30.783;31.066;30.625;30.899;30.885;29.991;29.354;758.236;856.766;910.749
2015-12-11 11:48:00;1;6169;6169868;7.754;6.978;56.21;7.328;6.877;6.455;6.029;0.034;4.726;4.73;3.782;4.495;3.257;3.715;3.34;1.893;1.595;1.412;1.051;1.417;0.072;0.275;30.091;30.216;30.818;31.112;30.646;30.928;30.926;30.0;29.51;755.744;854.208;908.379
2015-12-11 11:51:00;1;6349;6349868;7.768;6.898;57.54;7.295;6.885;6.459;6.009;0.039;4.708;4.712;3.765;4.454;3.257;3.689;3.311;1.874;1.578;1.399;1.047;1.402;0.067;0.285;29.892;30.095;30.849;31.064;30.642;30.961;30.953;30.132;29.639;753.435;851.984;906.294
2015-12-11 11:54:00;1;6529;6529868;7.705;6.887;58.81;7.263;6.862;6.419;5.994;0.04;4.733;4.695;3.724;4.454;3.244;3.698;3.3;1.894;1.561;1.404;1.052;1.412;0.055;0.293;30.035;30.167;30.906;31.121;30.683;31.043;31.048;30.193;29.76;751.122;849.607;903.618
2015-12-11 11:57:00;1;6709;6709868;7.709;6.968;60.05;7.246;6.85;6.417;5.978;0.019;4.701;4.682;3.724;4.424;3.184;3.689;3.302;1.896;1.564;1.382;1.04;1.425;0.046;0.283;29.839;30.086;30.891;31.133;30.674;31.001;30.975;30.077;29.479;749.066;847.486;901.729
2015-12-11 12:00:00;1;6889;6889868;7.679;6.907;61.31;7.205;6.855;6.39;5.956;0.031;4.695;4.653;3.692;4.408;3.184;3.658;3.272;1.864;1.572;1.38;1.042;1.382;0.078;0.282;29.751;30.05;30.769;31.108;30.65;30.939;30.942;29.943;29.246;745.958;844.594;898.643
2015-12-11 12:03:00;1;7069;7069868;7.667;6.854;62.5;7.183;6.823;6.327;5.948;0.006;4.662;4.632;3.696;4.39;3.149;3.654;3.27;1.85;1.551;1.382;1.037;1.394;0.074;0.307;29.946;30.135;30.813;31.136;30.667;30.986;31.01;29.984;29.37;742.993;841.32;895.725
2015-12-11 12:06:00;1;7249;7249868;7.622;6.882;63.61;7.117;6.783;6.312;5.906;0.029;4.647;4.615;3.665;4.364;3.13;3.65;3.238;1.846;1.555;1.369;1.046;1.386;0.08;0.312;29.853;30.131;30.797;31.098;30.647;30.961;30.993;29.867;29.225;740.011;838.119;892.578
2015-12-11 12:09:00;1;7429;7429868;7.595;6.944;64.76;7.095;6.779;6.297;5.864;0.014;4.635;4.612;3.658;4.357;3.127;3.627;3.221;1.841;1.547;1.356;1.062;1.369;0.089;0.306;29.793;30.043;30.673;30.987;30.602;30.923;30.918;29.963;29.401;736.549;834.733;889.539
2015-12-11 12:12:00;1;7609;7609868;7.563;6.879;65.85;7.068;6.78;6.256;5.844;0.001;4.626;4.597;3.64;4.339;3.097;3.613;3.22;1.822;1.524;1.378;1.033;1.37;0.107;0.308;29.769;30.087;30.697;31.011;30.565;30.87;30.902;29.757;29.053;733.264;831.384;886.014
2015-12-11 12:15:00;1;7789;7789868;7.522;6.866;66.93;7.016;6.734;6.238;5.814;-0.006;4.601;4.547;3.593;4.308;3.079;3.589;3.19;1.828;1.518;1.375;1.036;1.355;0.085;0.286;29.834;30.308;30.789;31.038;30.646;30.896;30.945;29.776;29.055;729.522;827.429;882.311
2015-12-11 12:18:00;1;7969;7969868;7.494;6.972;68.03;6.972;6.718;6.194;5.778;0.001;4.552;4.536;3.589;4.33;3.069;3.594;3.193;1.823;1.503;1.372;1.013;1.331;0.092;0.269;29.735;30.095;30.737;30.996;30.639;30.924;30.914;29.8;29.114;725.856;824.123;878.827
2015-12-11 12:21:00;1;8149;8149868;7.45;6.919;68.99;6.931;6.669;6.165;5.759;0.012;4.545;4.503;3.576;4.295;3.042;3.575;3.145;1.786;1.47;1.352;0.997;1.339;0.093;0.287;29.715;30.053;30.66;30.972;30.571;30.84;30.842;29.829;29.042;721.871;820.033;874.823
2015-12-11 12:24:00;1;8329;8329868;7.408;6.883;70.03;6.864;6.637;6.133;5.701;0.023;4.487;4.478;3.543;4.239;3.018;3.534;3.126;1.775;1.49;1.33;1.014;1.319;0.077;0.311;29.724;30.197;30.735;30.993;30.595;30.825;30.856;29.675;28.967;716.655;814.716;869.305
2015-12-11 12:27:00;1;8509;8509868;7.367;6.917;70.91;6.79;6.559;6.058;5.646;0.034;4.464;4.444;3.502;4.201;2.99;3.503;3.08;1.785;1.488;1.324;0.976;1.31;0.103;0.271;29.664;30.042;30.716;30.989;30.529;30.823;30.873;29.694;28.924;710.368;808.723;863.526
2015-12-11 12:30:00;1;8689;8689868;7.281;6.944;71.83;6.736;6.543;6.001;5.594;0.022;4.403;4.393;3.475;4.165;2.953;3.463;3.059;1.733;1.439;1.306;0.971;1.28;0.075;0.274;29.701;30.163;30.718;30.996;30.573;30.87;30.894;29.777;29.042;703.515;801.858;856.168
2015-12-11 12:33:00;1;8869;8869868;7.211;6.907;72.76;6.664;6.444;5.929;5.539;0.009;4.341;4.333;3.436;4.112;2.931;3.419;3.007;1.714;1.405;1.285;0.974;1.257;0.097;0.281;29.673;30.052;30.554;30.9;30.48;30.789;30.754;29.684;28.898;696.031;794.512;849.337
2015-12-11 12:36:00;1;9049;9049868;7.112;6.911;73.54;6.587;6.406;5.881;5.465;0.023;4.305;4.286;3.362;4.069;2.876;3.392;2.962;1.699;1.384;1.265;0.97;1.251;0.09;0.278;29.701;30.118;30.647;30.979;30.512;30.794;30.809;29.654;28.897;687.979;786.469;841.052
2015-12-11 12:39:00;1;9229;9229868;7.027;6.977;74.31;6.489;6.341;5.767;5.363;0.003;4.256;4.209;3.307;4.017;2.842;3.355;2.908;1.672;1.365;1.238;0.969;1.24;0.063;0.265;29.729;30.312;30.661;30.921;30.595;30.861;30.873;29.834;29.143;678.914;777.46;831.988
2015-12-11 12:42:00;1;9409;9409868;6.932;6.941;75.13;6.386;6.23;5.701;5.274;0.013;4.166;4.159;3.264;3.935;2.76;3.294;2.866;1.626;1.345;1.222;0.922;1.22;0.089;0.273;29.651;30.039;30.535;30.887;30.513;30.807;30.808;29.801;29.036;668.836;767.753;822.124
2015-12-11 12:45:00;1;9589;9589868;6.806;6.896;75.87;6.262;6.142;5.616;5.197;0.013;4.105;4.069;3.202;3.866;2.739;3.251;2.821;1.596;1.293;1.199;0.879;1.183;0.066;0.254;29.505;29.966;30.541;30.872;30.46;30.769;30.735;29.707;28.94;657.967;756.884;811.225
2015-12-11 12:48:00;1;9769;9769868;6.692;6.946;76.54;6.159;6.029;5.502;5.081;0.007;3.997;3.972;3.129;3.791;2.687;3.181;2.745;1.558;1.25;1.172;0.854;1.173;0.042;0.262;29.501;29.919;30.557;30.847;30.47;30.787;30.788;29.709;28.945;645.791;744.978;798.974
2015-12-11 12:51:00;1;9949;9949868;6.543;6.945;77.24;6.019;5.913;5.379;4.982;0.009;3.906;3.889;3.037;3.712;2.611;3.114;2.7;1.495;1.205;1.141;0.836;1.126;0.062;0.252;29.507;29.919;30.512;30.86;30.464;30.765;30.78;29.657;28.877;632.42;731.729;785.417
2015-12-11 12:54:00;1;10129;10129868;6.383;6.906;77.86;5.864;5.751;5.249;4.852;0.002;3.801;3.773;2.947;3.603;2.536;3.023;2.626;1.443;1.161;1.129;0.804;1.089;0.036;0.237;29.643;30.076;30.571;30.85;30.456;30.746;30.748;29.704;28.943;617.557;716.996;770.701
2015-12-11 12:57:00;1;10309;10309868;6.195;6.914;78.49;5.698;5.618;5.104;4.715;0.002;3.674;3.665;2.855;3.515;2.453;2.96;2.544;1.395;1.096;1.087;0.781;1.065;0.05;0.256;29.556;30.085;30.562;30.855;30.44;30.729;30.718;29.535;28.738;601.491;701.245;754.893
2015-12-11 13:00:00;1;10489;10489868;6.063;6.966;79.01;5.525;5.447;4.961;4.56;0.0;3.556;3.513;2.755;3.408;2.349;2.885;2.429;1.36;1.046;1.046;0.751;1.025;0.02;0.234;29.558;30.051;30.542;30.859;30.525;30.786;30.76;29.733;28.97;584.02;684.019;737.204
2015-12-11 13:03:00;1;10669;10669868;5.843;6.925;79.61;5.322;5.274;4.787;4.39;0.029;3.405;3.371;2.636;3.288;2.262;2.764;2.329;1.273;0.991;1.009;0.703;0.967;0.036;0.205;29.504;30.007;30.523;30.821;30.45;30.72;30.735;29.674;28.892;565.161;665.492;718.639
2015-12-11 13:06:00;1;10849;10849868;5.641;6.9;80.07;5.085;5.086;4.607;4.228;0.012;3.257;3.22;2.506;3.153;2.135;2.695;2.262;1.205;0.9;0.957;0.662;0.936;0.006;0.206;29.497;30.034;30.468;30.791;30.429;30.737;30.723;29.639;28.818;544.969;645.669;698.346
2015-12-11 13:09:00;1;11029;11029868;5.412;6.989;80.53;4.889;4.87;4.437;4.048;0.021;3.12;3.091;2.356;3.031;2.05;2.559;2.094;1.12;0.824;0.899;0.621;0.89;0.021;0.168;29.432;29.953;30.422;30.787;30.405;30.745;30.733;29.764;29.104;523.905;624.764;677.277
2015-12-11 13:12:00;1;11209;11209868;5.178;6.964;81.06;4.639;4.616;4.215;3.841;0.016;2.923;2.907;2.21;2.883;1.922;2.438;1.992;1.035;0.744;0.877;0.585;0.854;0.008;0.185;29.424;29.912;30.462;30.784;30.417;30.718;30.698;29.652;28.847;501.731;602.964;654.872
2015-12-11 13:15:00;1;11389;11389868;4.915;6.91;81.39;4.376;4.429;4.014;3.607;0.018;2.731;2.73;2.057;2.721;1.796;2.309;1.874;0.945;0.651;0.836;0.52;0.807;-0.012;0.151;29.472;29.992;30.503;30.784;30.427;30.699;30.665;29.536;28.707;478.711;579.954;631.66
2015-12-11 13:18:00;1;11569;11569868;4.662;6.909;81.74;4.091;4.169;3.823;3.387;-0.005;2.555;2.517;1.889;2.559;1.664;2.191;1.736;0.848;0.551;0.771;0.462;0.732;-0.019;0.136;29.474;30.021;30.484;30.779;30.446;30.7;30.675;29.738;29.074;455.156;556.689;608.065
