DATETIME;t(s);0;1;2;3;4;5;6;7;8;9;$P_e$(2.2m);$P_e$(2.6m);$P_e$(3.0m);$P_e$(3.4m);$P_e$(3.8m);m(g);m1(g);m2(g);mDot(kg/s);Vr(m/s)
2016-01-14 10:40:00;0;137917.37768820225;138009.33654595833;143661.3967222423;143758.34897662213;150219.71038565325;150423.2273552995;159897.01569922687;159989.38046354064;165154.4886937449;165245.39836540326;137958.02511999998;143715.14972;150292.75076;159945.41476;165199.22188;0.15;0.15043215488381545;0.14954844816164461;-8.333333333333342e-08;-5.801798742049268e-10
2016-01-14 10:42:00;120;136664.57340960135;136780.066166624;142450.6325148851;142588.52796549568;150641.33847212416;150865.4270404459;158872.5311660104;159061.09447357312;164353.34999577896;164490.52077979513;136727.31045999998;142518.90886;150775.38396;158959.46408;164440.79828;0.11;0.11033908042532387;0.10957817101817431;-3.3333333333333325e-07;-2.3207194968197044e-09
2016-01-14 10:44:00;240;136125.73429641122;136259.5492899589;141543.14424541203;141718.60010405042;150605.84009055173;150920.8466517216;158655.74000712918;158838.7215413366;164163.26027726903;164395.20439352744;136210.20346;141629.48481999998;150754.69968;158773.30556;164261.53452;0.12;0.12045324731024372;0.11956143509593595;8.333333333333329e-08;5.801798742049259e-10
2016-01-14 10:46:00;360;135709.76555281653;135913.637258488;141006.77959218092;141183.82430091297;150434.9276726665;150849.95050389817;158302.8561549695;158472.6682639166;163608.82316685084;163835.717121719;135824.0969;141071.00926;150678.85732;158373.40948;163730.638;4.3;4.316337249833808;4.282532077506218;3.483333333333334e-05;2.425151874176592e-07
2016-01-14 10:48:00;480;135381.27539060859;135632.82265048343;140633.727743633;140929.819199683;150332.1242998584;150747.67410293236;157789.7317642545;158062.6236995305;163302.00523683915;163528.4923552852;135506.93794;140767.63981999998;150589.22544;157945.93436;163420.3738;7.44;7.476583330636224;7.409697864783626;2.616666666666667e-05;1.8217648050034686e-07
2016-01-14 10:50:00;600;135239.44170081386;135556.17866048496;140349.1624038728;140629.3161304003;150319.70969120157;150927.1730785089;157870.63044021055;158166.93520778755;163113.3800932238;163409.56381527768;135406.96391999998;140457.37562;150561.6464;157994.19767999998;163296.26812;11.98;12.037075945794337;11.923091271814211;3.7833333333333336e-05;2.634016628890365e-07
2016-01-14 10:52:00;720;135151.59391972199;135429.7825680688;140171.41385878102;140510.12064667154;150214.45475405036;150807.91414058802;157448.54666536214;157758.11512372227;162959.54895841097;163406.4586140495;135313.88465999998;140329.82256;150492.69879999998;157608.09112;163172.16244;15.55;15.633366718227018;15.472210660001926;2.975e-05;2.0712421509115867e-07
2016-01-14 10:54:00;840;134988.6374993681;135339.79743133375;139936.30101167824;140253.7629769486;150030.14973204982;150731.08782968041;157355.4452003645;157748.57918299045;162774.2246404034;163186.55647504;135151.8578;140085.05857999998;150472.01452;157552.93304;162944.63536;18.59;18.701667373600486;18.479469716707435;2.5333333333333327e-05;1.7637468175829753e-07
2016-01-14 10:56:00;960;134975.65035980885;135339.1578035107;139703.96312928878;140183.9264174525;150007.79262306617;150785.67764433147;157323.12659062573;157743.76744073688;162710.99314508543;163077.10477854704;135120.83138;139964.40028;150389.2774;157532.24876;162917.05632;21.17;21.292938218595626;21.047711516913573;2.1500000000000014e-05;1.4968640754487107e-07
2016-01-14 10:58:00;1080;134710.46258327315;135172.36645088723;139782.96624008485;140100.85732467845;149971.10072389725;150876.33046483138;157172.15929687637;157639.40652659343;162693.203273203;163080.41749774874;134934.67286;139905.79481999998;150382.38264;157408.14308;162875.68776;23.53;23.691163092572133;23.37959017866642;1.9666666666666662e-05;1.3692245031236257e-07
2016-01-14 11:00:00;1200;134559.8336884174;134983.79772537205;139689.38531982887;140032.85264110233;149835.55746483864;150737.48415330995;157070.66891685463;157455.12857636125;162470.69717889247;163133.35001291524;134834.69884;139819.61031999998;150354.80359999998;157242.66884;162744.68732;25.7;25.85968121842749;25.52467654762066;1.808333333333332e-05;1.258990327024689e-07
