Time(s),Depth(m),Pressure(Pa)
0.1,2.2,139106.40197669773
0.1,2.6,145909.91040720235
0.1,3.0,152712.5945051287
0.1,3.4,159514.43270887554
0.1,3.8,166354.40870087943
0.2,2.2,139095.12623659556
0.2,2.6,145875.89159664235
0.2,3.0,152655.6545652771
0.2,3.4,159434.41577797156
0.2,3.8,166260.42703792846
0.2,2.2,139091.1416786938
0.2,2.6,145863.90022290192
0.2,3.0,152635.6072203123
0.2,3.4,159406.26483379336
0.2,3.8,166227.87217014885
0.3,2.2,139089.58401073914
0.3,2.6,145859.21385020972
0.3,3.0,152627.77486961082
0.3,3.4,159395.26987780983
0.3,3.8,166215.16408902878
0.3,2.2,139088.96362688547
0.3,2.6,145857.34779051875
0.3,3.0,152624.65657068568
0.3,3.4,159390.89306991277
0.3,3.8,166210.10381772553
0.4,2.2,139088.7246003174
0.4,2.6,145856.6291499299
0.4,3.0,152623.4559518433
0.4,3.4,159389.2082392162
0.4,3.8,166208.15516875917
0.4,2.2,139088.64641229744
0.4,2.6,145856.39449232124
0.4,3.0,152623.0642996926
0.4,3.4,159388.65912191817
0.4,3.8,166207.51977278988
0.5,2.2,139088.6395022586
0.5,2.6,145856.37439258734
0.5,3.0,152623.0313961185
0.5,3.4,159388.61381952272
0.5,3.8,166207.46707941874
0.5,2.2,139088.6676439937
0.5,2.6,145856.4598784087
0.5,3.0,152623.1751571451
0.5,3.4,159388.81678956535
0.5,3.8,166207.70148369405
0.6,2.2,139088.71689587733
0.6,2.6,145856.60902424547
0.6,3.0,152623.42554927478
0.6,3.4,159389.1697746088
0.6,3.8,166208.10923225127
0.6,2.2,139088.78290334652
0.6,2.6,145856.8087552019
0.6,3.0,152623.76076536847
0.6,3.4,159389.64222659366
0.6,3.8,166208.65488322574
0.7,2.2,139088.86569651018
0.7,2.6,145857.0591974941
0.7,3.0,152624.18107528266
0.7,3.4,159390.23460758824
0.7,3.8,166209.33886329745
0.7,2.2,139088.96761732158
0.7,2.6,145857.3674435144
0.7,3.0,152624.69840831883
0.7,3.4,159390.96377028193
0.7,3.8,166210.18054872093
0.8,2.2,139089.09258434843
0.8,2.6,145857.74534205702
0.8,3.0,152625.33266410363
0.8,3.4,159391.85778518498
0.8,3.8,166211.21227118844
0.8,2.2,139089.24596718204
0.8,2.6,145858.20912319445
0.8,3.0,152626.11109013297
0.8,3.4,159392.95507327092
0.8,3.8,166212.4783023905
