Time(s),Depth(m),Pressure(Pa)
0.5,2.2,136433.1755569752
0.5,2.6,142817.17270527568
0.5,3.0,149201.1698455525
0.5,3.4,155585.16695847223
0.5,3.8,161969.31256501033
1.0,2.2,136431.82377151857
1.0,2.6,142812.070820078
1.0,3.0,149190.9366925974
1.0,3.4,155568.4210428898
1.0,3.8,161949.51129729665
1.5,2.2,136431.49417163664
1.5,2.6,142810.85614856862
1.5,3.0,149188.5380125738
1.5,3.4,155564.54503702183
1.5,3.8,161944.51696703403
2.1,2.2,136432.04651521347
2.1,2.6,142813.1400272647
2.1,3.0,149193.36714259358
2.1,3.4,155572.73122679355
2.1,3.8,161954.4589239885
3.3,2.2,136432.8563912522
3.3,2.6,142816.2020360576
3.3,3.0,149199.4968443305
3.3,3.4,155582.7408899259
3.3,3.8,161966.4958850031
27.2,2.2,136428.51468049214
27.2,2.6,142803.17810105407
27.2,3.0,149177.76757841004
27.2,3.4,155552.28294092818
27.2,3.8,161931.60621286638
57.2,2.2,136427.72474067335
57.2,2.6,142800.29535026813
57.2,3.0,149171.71543660483
57.2,3.4,155541.98492488565
57.2,3.8,161919.16107452952
87.2,2.2,136427.48223880274
87.2,2.6,142799.45109405284
87.2,3.0,149169.55836662045
87.2,3.4,155537.80881662294
87.2,3.8,161913.99556941973
117.2,2.2,136426.7625643762
117.2,2.6,142797.54265229235
117.2,3.0,149166.16095516374
117.2,3.4,155532.62683982888
117.2,3.8,161907.95539023587
147.2,2.2,136425.8484196539
147.2,2.6,142795.22478135416
147.2,3.0,149162.2942528216
147.2,3.4,155527.06857474975
147.2,3.8,161901.58717556903
207.2,2.2,136423.78824930202
207.2,2.6,142790.16543145766
207.2,3.0,149154.08529800398
207.2,3.4,155515.56173748363
207.2,3.8,161888.497548118
327.2,2.2,136419.27740377118
327.2,2.6,142779.59956653492
327.2,3.0,149137.24442493083
327.2,3.4,155492.22849125383
327.2,3.8,161862.01381935744
447.2,2.2,136414.37664292176
447.2,2.6,142768.7497981903
447.2,3.0,149120.21449326616
447.2,3.4,155468.79031631857
447.2,3.8,161835.4143146502
567.2,2.2,136409.0856215094
567.2,2.6,142757.62318622682
567.2,3.0,149102.9997072074
567.2,3.4,155445.23833780814
567.2,3.8,161808.68251023997
687.2,2.2,136411.8883556442
687.2,2.6,142771.04657485563
687.2,3.0,149126.64496108552
687.2,3.4,155478.71186480953
687.2,3.8,161847.07799957023
807.2,2.2,136412.36571017877
807.2,2.6,142776.91975976422
807.2,3.0,149137.5009806989
807.2,3.4,155494.1437827535
807.2,3.8,161864.7890412447
927.2,2.2,136412.40234047925
927.2,2.6,142781.28999799723
927.2,3.0,149145.75710725546
927.2,3.4,155505.84524595973
927.2,3.8,161878.19236305205
1047.2,2.2,136412.1386692442
1047.2,2.6,142784.7166724485
1047.2,3.0,149152.3853474579
1047.2,3.4,155515.1947979409
1047.2,3.8,161888.86563961676
1167.2,2.2,136411.66820660696
1167.2,2.6,142787.57451848418
1167.2,3.0,149158.03496920795
1167.2,3.4,155523.10982370077
1167.2,3.8,161897.85655136162
1287.2,2.2,136411.03433554372
1287.2,2.6,142790.08259908282
1287.2,3.0,149163.09436528973
1287.2,3.4,155530.14173295765
1287.2,3.8,161905.79424896874
1407.2,2.2,136410.24381733028
1407.2,2.6,142792.35164700792
1407.2,3.0,149167.78571239155
1407.2,3.4,155536.61760229748
1407.2,3.8,161913.05444366782
1527.2,2.2,136409.31133118444
1527.2,2.6,142794.45316302823
1527.2,3.0,149172.25812062118
