Time(s),Depth(m),Pressure(Pa)
0.2,2.2,139145.8629703737
0.2,2.6,146022.5052723352
0.2,3.0,152899.14757396365
0.2,3.4,159775.7898753038
0.2,3.8,166652.73136283964
0.3,2.2,139145.86792800657
0.3,2.6,146022.5189248686
0.3,3.0,152899.1677025862
0.3,3.4,159775.81426128806
0.3,3.8,166652.69426904383
0.4,2.2,139145.86642075193
0.4,2.6,146022.5149440364
0.4,3.0,152899.16162144084
0.4,3.4,159775.80645303478
0.4,3.8,166652.68038504984
0.6,2.2,139145.86527601304
0.6,2.6,146022.51197791973
0.6,3.0,152899.1570804534
0.6,3.4,159775.80058368435
0.6,3.8,166652.6738074861
0.7,2.2,139145.86396032065
0.7,2.6,146022.50860586326
0.7,3.0,152899.15198876374
0.7,3.4,159775.79410908665
0.7,3.8,166652.6698620915
1.0,2.2,139145.86245963353
1.0,2.6,146022.50485861814
1.0,3.0,152899.1464626637
1.0,3.4,159775.78727222863
1.0,3.8,166652.6687554366
1.4,2.2,139145.86102383956
1.4,2.6,146022.5016369004
1.4,3.0,152899.14199737646
1.4,3.4,159775.7821056984
1.4,3.8,166652.67281423294
3.1,2.2,139145.85815985376
3.1,2.6,146022.49682324243
3.1,3.0,152899.13544971234
3.1,3.4,159775.7740392804
3.1,3.8,166652.66996846301
22.9,2.2,139145.7934059263
22.9,2.6,146022.31242065036
22.9,3.0,152898.83130797168
22.9,3.4,159775.35006867925
22.9,3.8,166652.32251883298
42.9,2.2,139145.67504051744
42.9,2.6,146022.0454900117
42.9,3.0,152898.41459797224
42.9,3.4,159774.78236649113
42.9,3.8,166651.99241847664
62.9,2.2,139145.53182592962
62.9,2.6,146021.74462483055
62.9,3.0,152897.95551974478
62.9,3.4,159774.1645140029
62.9,3.8,166651.67647061864
82.9,2.2,139145.39542874251
82.9,2.6,146021.50409383807
82.9,3.0,152897.610586424
82.9,3.4,159773.7149105054
82.9,3.8,166651.51304405535
102.9,2.2,139145.30958846328
102.9,2.6,146021.4550081
102.9,3.0,152897.5981129855
102.9,3.4,159773.73890677732
102.9,3.8,166651.86479896706
182.9,2.2,139144.6963779567
182.9,2.6,146020.84642693336
182.9,3.0,152896.99389347807
182.9,3.4,159773.13878128247
182.9,3.8,166651.360470544
202.9,2.2,139144.45979834092
202.9,2.6,146020.54383626682
202.9,3.0,152896.6252381288
202.9,3.4,159772.7040075076
202.9,3.8,166650.61000480625
282.9,2.2,139143.46499744564
282.9,2.6,146019.5861826778
282.9,3.0,152895.7045118261
282.9,3.4,159771.81999101944
282.9,3.8,166648.39961657656
362.9,2.2,139142.122765477
362.9,2.6,146018.22429694704
362.9,3.0,152894.32273479213
362.9,3.4,159770.4180930969
362.9,3.8,166647.99203247193
442.9,2.2,139140.37647517186
442.9,2.6,146016.28985436613
442.9,3.0,152892.1998814577
442.9,3.4,159768.1065937904
442.9,3.8,166646.90146590106
522.9,2.2,139138.44796247673
522.9,2.6,146014.45002901586
522.9,3.0,152890.44846542532
522.9,3.4,159766.44334156386
522.9,3.8,166648.19543821225
602.9,2.2,139136.0839891582
602.9,2.6,146011.94689138333
602.9,3.0,152887.80586076697
602.9,3.4,159763.6609058131
602.9,3.8,166646.5783348485
682.9,2.2,139134.10759274647
682.9,2.6,146010.00561425972
682.9,3.0,152885.89937649074
682.9,3.4,159761.7886269724
682.9,3.8,166646.04725212438
762.9,2.2,139132.32202317915
762.9,2.6,146008.1676128417
762.9,3.0,152884.0085887682
762.9,3.4,159759.84416583535
762.9,3.8,166648.29929346687
842.9,2.2,139130.72888769535
842.9,2.6,146006.5662324313
842.9,3.0,152882.39858014573
842.9,3.4,159758.2229043064
842.9,3.8,166648.90369830956
922.9,2.2,139129.20498284223
922.9,2.6,146004.9198008134
922.9,3.0,152880.6292053481
922.9,3.4,159756.31957636267
922.9,3.8,166651.61043653
