Time(s),Depth(m),Pressure(Pa)
0.2,2.2,139145.8562155363
0.2,2.6,146022.48500622157
0.2,3.0,152899.11379327317
0.2,3.4,159775.74257682922
0.2,3.8,166652.6222352603
0.3,2.2,139146.3297080889
0.3,2.6,146023.75307271013
0.3,3.0,152900.97327094572
0.3,3.4,159777.9902970984
0.3,3.8,166655.0583293312
0.4,2.2,139146.2713546738
0.4,2.6,146023.59449242597
0.4,3.0,152900.73595540717
0.4,3.4,159777.69570491122
0.4,3.8,166654.73700533112
0.6,2.2,139146.2094286026
0.6,2.6,146023.42714396142
0.6,3.0,152900.48732004128
0.6,3.4,159777.3899300978
0.6,3.8,166654.40225407135
0.7,2.2,139146.12673364373
0.7,2.6,146023.20413176593
0.7,3.0,152900.1568929584
0.7,3.4,159776.98500086088
0.7,3.8,166653.96336455952
1.0,2.2,139146.01150748067
1.0,2.6,146022.8934469477
1.0,3.0,152899.69674382085
1.0,3.4,159776.42138679125
1.0,3.8,166653.35478705732
1.4,2.2,139145.8715579933
1.4,2.6,146022.5146957154
1.4,3.0,152899.13293040066
1.4,3.4,159775.726263934
1.4,3.8,166652.6041608092
3.1,2.2,139145.760834846
3.1,2.6,146022.20246268695
3.1,3.0,152898.6401592351
3.1,3.4,159775.07420609347
3.1,3.8,166651.87755198553
22.9,2.2,139145.10044719756
22.9,2.6,146020.22430786295
22.9,3.0,152895.33574743423
22.9,3.4,159770.4347784976
22.9,3.8,166646.55410774186
42.9,2.2,139144.71798785336
42.9,2.6,146019.07687827732
42.9,3.0,152893.30487468376
42.9,3.4,159767.40200037707
42.9,3.8,166643.01218292012
62.9,2.2,139144.18975838998
62.9,2.6,146017.5803687036
62.9,3.0,152890.78558988904
62.9,3.4,159763.805484718
62.9,3.8,166638.8706045702
82.9,2.2,139143.58546771796
82.9,2.6,146015.91691555886
82.9,3.0,152888.0371738879
82.9,3.4,159759.94632854246
82.9,3.8,166634.44929332932
102.9,2.2,139142.93748934258
102.9,2.6,146014.17129359787
102.9,3.0,152885.18036059302
102.9,3.4,159755.96479593613
102.9,3.8,166629.89714902415
182.9,2.2,139140.09242038353
182.9,2.6,146006.8486225003
182.9,3.0,152873.35537060257
182.9,3.4,159739.6128158109
182.9,3.8,166611.2276433037
202.9,2.2,139139.3296709982
202.9,2.6,146004.96388222603
202.9,3.0,152870.34378676195
202.9,3.4,159735.46954383884
202.9,3.8,166606.4994020002
282.9,2.2,139136.082752415
282.9,2.6,145997.23493462487
282.9,3.0,152858.11291783061
282.9,3.4,159718.71689624028
282.9,3.8,166587.38692587777
362.9,2.2,139132.52113786922
362.9,2.6,145989.1989010305
362.9,3.0,152845.58110995468
362.9,3.4,159701.6679927492
362.9,3.8,166567.94554577768
442.9,2.2,139128.64173931416
442.9,2.6,145980.8478953277
442.9,3.0,152832.7354650802
442.9,3.4,159684.30470806223
442.9,3.8,166548.15606660477
522.9,2.2,139124.44128527274
522.9,2.6,145972.17366686495
522.9,3.0,152819.56261701242
522.9,3.4,159666.60842400754
522.9,3.8,166527.9991174554
602.9,2.2,139123.35935487412
602.9,2.6,145973.49556340254
602.9,3.0,152823.2601028765
602.9,3.4,159672.65326015183
602.9,3.8,166534.99436211435
682.9,2.2,139123.1599420441
682.9,2.6,145976.85993956198
682.9,3.0,152830.154380108
682.9,3.4,159683.04358758524
682.9,3.8,166546.93287730555
762.9,2.2,139122.8779844289
762.9,2.6,145979.50638993393
762.9,3.0,152835.69385131964
762.9,3.4,159691.4407160781
762.9,3.8,166556.58256575398
842.9,2.2,139122.4437120444
842.9,2.6,145981.35323360283
842.9,3.0,152839.7837219164
842.9,3.4,159697.7355779403
842.9,3.8,166563.82119990743
922.9,2.2,139121.90752912793
922.9,2.6,145982.63940364486
922.9,3.0,152842.85119633324
922.9,3.4,159702.54331819396
922.9,3.8,166569.35309387423
1002.9,2.2,139121.30208060425
1002.9,2.6,145983.5254211367
1002.9,3.0,152845.18432621172
1002.9,3.4,159706.279266477
1002.9,3.8,166573.6537678513
1082.9,2.2,139120.64758583935
1082.9,2.6,145984.1182736025
1082.9,3.0,152846.97659692267
1082.9,3.4,159709.2230568635
1082.9,3.8,166577.04333640196
1162.9,2.2,139119.95665896503
1162.9,2.6,145984.4912467388
1162.9,3.0,152848.36161345936
1162.9,3.4,159711.56831587935
1162.9,3.8,166579.74341257883
1242.9,2.2,139119.23713410588
1242.9,2.6,145984.69579386193
1242.9,3.0,152849.43410811614
1242.9,3.4,159713.4527029248
1242.9,3.8,166581.91148544688
1322.9,2.2,139118.49374514795
1322.9,2.6,145984.76880028957
1322.9,3.0,152850.26274763135
1322.9,3.4,159714.9762952297
1322.9,3.8,166583.66197752146
1402.9,2.2,139117.7291531054
1402.9,2.6,145984.73717244223
1402.9,3.0,152850.89828447285
1402.9,3.4,159716.21329390042
1402.9,3.8,166585.07964546073
1482.9,2.2,139116.94459088158
1482.9,2.6,145984.6208213377
1482.9,3.0,152851.3788777169
1482.9,3.4,159717.21967711448
1482.9,3.8,166586.22833990096
1562.9,2.2,139116.1402733946
1562.9,2.6,145984.43464788454
1562.9,3.0,152851.73364946403
1562.9,3.4,159718.03832558155
1562.9,3.8,166587.15687467012
1642.9,2.2,139115.3156673888
1642.9,2.6,145984.18990165385
1642.9,3.0,152851.9851270942
1642.9,3.4,159718.70254437608
1642.9,3.8,166587.90306071925
1722.9,2.2,139114.46966521803
1722.9,2.6,145983.8951153304
1722.9,3.0,152852.1509396318
1722.9,3.4,159719.23851760456
1722.9,3.8,166588.49651221774
1802.9,2.2,139113.60069462503
1802.9,2.6,145983.55676624257
1802.9,3.0,152852.24502795268
1802.9,3.4,159719.66705945032
1802.9,3.8,166588.96065037415
1882.9,2.2,139112.7068007812
1882.9,2.6,145983.17975949848
1882.9,3.0,152852.27851615148
1882.9,3.4,159720.0048868462
1882.9,3.8,166589.31415998534
1962.9,2.2,139111.78568872108
1962.9,2.6,145982.76777848098
1962.9,3.0,152852.26036472016
1962.9,3.4,159720.26554800544
1962.9,3.8,166589.57204142358
2042.9,2.2,139110.8347488064
2042.9,2.6,145982.32352972782
2042.9,3.0,152852.19785449267
2042.9,3.4,159720.46014085965
2042.9,3.8,166589.74645849998
2122.9,2.2,139109.8510705569
2122.9,2.6,145981.84890850907
2122.9,3.0,152852.09687527726
2122.9,3.4,159720.59775507174
2122.9,3.8,166589.8471936282
2202.9,2.2,139108.83139394404
2202.9,2.6,145981.3451277227
2202.9,3.0,152851.96223481937
2202.9,3.4,159720.68591255049
2202.9,3.8,166589.88220056455
2282.9,2.2,139107.77181740676
2282.9,2.6,145980.81247063438
2282.9,3.0,152851.7974901149
2282.9,3.4,159720.73049505273
2282.9,3.8,166589.85754420815
2362.9,2.2,139106.66822159023
2362.9,2.6,145980.25054352588
2362.9,3.0,152851.60528833247
2362.9,3.4,159720.73617572058
2362.9,3.8,166589.7778684691
2442.9,2.2,139105.5163618473
2442.9,2.6,145979.65856016774
2442.9,3.0,152851.38771774012
2442.9,3.4,159720.70679400314
2442.9,3.8,166589.64679326158
2502.9,2.2,139104.6180389439
2502.9,2.6,145979.19420953825
2502.9,3.0,152851.2088731339
2502.9,3.4,159720.6636884319
2502.9,3.8,166589.5164650436
2582.9,2.2,139103.3704082673
2582.9,2.6,145978.54697554867
2582.9,3.0,152850.95051037593
2582.9,3.4,159720.58023458152
2582.9,3.8,166589.30167907584
2662.9,2.2,139102.06090136617
2662.9,2.6,145977.86627709013
2662.9,3.0,152850.67019229074
2662.9,3.4,159720.46907581275
2662.9,3.8,166589.04137934113
2742.9,2.2,139100.68375803676
2742.9,2.6,145977.15028972836
2742.9,3.0,152850.36843858403
2742.9,3.4,159720.3319230341
2742.9,3.8,166588.73645012354
2822.9,2.2,139099.2327684037
2822.9,2.6,145976.39684954507
2822.9,3.0,152850.04553034122
2822.9,3.4,159720.1700853501
2822.9,3.8,166588.3872253549
2902.9,2.2,139097.701184124
2902.9,2.6,145975.60342272578
2902.9,3.0,152849.70152467894
2902.9,3.4,159719.98447941855
2902.9,3.8,166587.9934998991
2982.9,2.2,139096.0816848527
2982.9,2.6,145974.7670851173
2982.9,3.0,152849.33616190194
2982.9,3.4,159719.77564360623
2982.9,3.8,166587.55453283613
3062.9,2.2,139094.3663633355
3062.9,2.6,145973.88453517106
3062.9,3.0,152848.9488909852
3062.9,3.4,159719.54378200785
3062.9,3.8,166587.06909711764
3142.9,2.2,139092.54663436572
3142.9,2.6,145972.95203387624
3142.9,3.0,152848.53883003202
3142.9,3.4,159719.28873329703
3142.9,3.8,166586.53543820063
3222.9,2.2,139090.6131932551
3222.9,2.6,145971.965415086
3222.9,3.0,152848.10479520765
3222.9,3.4,159719.01001792465
3222.9,3.8,166585.95129638407
3302.9,2.2,139088.55595521038
3302.9,2.6,145970.9200254146
3302.9,3.0,152847.6452623921
3302.9,3.4,159718.70684454593
3302.9,3.8,166585.3138719968
3382.9,2.2,139086.36397227237
3382.9,2.6,145969.81066268522
3382.9,3.0,152847.1583125635
3382.9,3.4,159718.37803361414
3382.9,3.8,166584.6197884609
3462.9,2.2,139084.02538751528
3462.9,2.6,145968.63160308046
3462.9,3.0,152846.64169291581
3462.9,3.4,159718.02206137014
3462.9,3.8,166583.8651607613
3542.9,2.2,139081.5273203894
3542.9,2.6,145967.3764612199
3542.9,3.0,152846.0926847684
3542.9,3.4,159717.6369326272
3542.9,3.8,166583.0454038311
3622.9,2.2,139078.85579325055
3622.9,2.6,145966.038172803
3622.9,3.0,152845.5081014894
3622.9,3.4,159717.2201819126
3622.9,3.8,166582.15522656002
3702.9,2.2,139075.99562842597
3702.9,2.6,145964.60891680967
3702.9,3.0,152844.88422376866
3702.9,3.4,159716.76881188157
3702.9,3.8,166581.18855087954
3782.9,2.2,139072.93033819625
3782.9,2.6,145963.08002548234
3782.9,3.0,152844.2167357296
3782.9,3.4,159716.2792308017
3782.9,3.8,166580.13844921766
3862.9,2.2,139069.64200407173
3862.9,2.6,145961.44188123528
3862.9,3.0,152843.50063224923
3862.9,3.4,159715.7471608011
3862.9,3.8,166578.99703332674
3942.9,2.2,139066.11114427817
3942.9,2.6,145959.6838253442
3942.9,3.0,152842.73014513077
3942.9,3.4,159715.16756383894
3942.9,3.8,166577.75534841386
4022.9,2.2,139062.31657018772
4022.9,2.6,145957.79403502532
4022.9,3.0,152841.89859059706
4022.9,3.4,159714.53448892452
4022.9,3.8,166576.40320060408
4102.9,2.2,139058.23523085547
4102.9,2.6,145955.7593741385
4102.9,3.0,152840.99831925615
4102.9,3.4,159713.84100997797
4102.9,3.8,166574.92906895268
4182.9,2.2,139053.84204707056
4182.9,2.6,145953.56525565902
4182.9,3.0,152840.02051368437
4182.9,3.4,159713.079046024
4182.9,3.8,166573.31990269345
4262.9,2.2,139049.1097346756
4262.9,2.6,145951.19547182732
4262.9,3.0,152838.95503747696
4262.9,3.4,159712.23915574167
4262.9,3.8,166571.56088345547
4342.9,2.2,139044.0086150837
4342.9,2.6,145948.6320139529
4342.9,3.0,152837.79027682598
4342.9,3.4,159711.3104049165
4342.9,3.8,166569.63524966902
4422.9,2.2,139038.50640499196
4422.9,2.6,145945.85485873406
4422.9,3.0,152836.5129036255
4422.9,3.4,159710.28012195133
4422.9,3.8,166567.52404464784
4502.9,2.2,139032.5679736705
4502.9,2.6,145942.84172381985
4502.9,3.0,152835.10762592332
4502.9,3.4,159709.13358574183
4502.9,3.8,166565.20574129408
4582.9,2.2,139026.15504762446
4582.9,2.6,145939.5677392415
4582.9,3.0,152833.5568468352
4582.9,3.4,159707.85369038032
4582.9,3.8,166562.655859837
4662.9,2.2,139019.22589057367
4662.9,2.6,145936.00509441094
4662.9,3.0,152831.84030218725
4662.9,3.4,159706.42053279595
4662.9,3.8,166559.8465371801
4742.9,2.2,139011.7349086385
4742.9,2.6,145932.12258582463
4742.9,3.0,152829.93439075435
4742.9,3.4,159704.81068480917
