Time(s),Depth(m),Pressure(Pa)
0.5,2.2,136432.59122222735
0.5,2.6,142816.5111905728
0.5,3.0,149200.43107862008
0.5,3.4,155584.35089744983
0.5,3.8,161968.52008819822
1.0,2.2,136434.2433136982
1.0,2.6,142820.9434026496
1.0,3.0,149206.93886934104
1.0,3.4,155592.22974425755
1.0,3.8,161977.01786431152
1.5,2.2,136434.59948128514
1.5,2.6,142821.89888600798
1.5,3.0,149208.33488660614
1.5,3.4,155593.90679598658
1.5,3.8,161978.8577025193
2.1,2.2,136433.5879087743
2.1,2.6,142819.18377463162
2.1,3.0,149204.33301057387
2.1,3.4,155589.03517857587
2.1,3.8,161973.56074972326
3.3,2.2,136432.54206523893
3.3,2.6,142816.3737690146
3.3,3.0,149200.17907885092
3.3,3.4,155583.9579851906
3.3,3.8,161968.03407517573
27.2,2.2,136431.7647106264
27.2,2.6,142814.05745303296
27.2,3.0,149196.31217241328
27.2,3.4,155578.5288785554
27.2,3.8,161961.81423724102
57.2,2.2,136431.97101713592
57.2,2.6,142814.6246030791
57.2,3.0,149196.68508734045
57.2,3.4,155578.15252860115
57.2,3.8,161961.0412078254
87.2,2.2,136431.70500934578
87.2,2.6,142814.07648167614
87.2,3.0,149195.47745043345
87.2,3.4,155575.9086200064
87.2,3.8,161958.24945873767
117.2,2.2,136430.8947565253
117.2,2.6,142812.15338860042
117.2,3.0,149192.27915732015
117.2,3.4,155571.27337343982
117.2,3.8,161952.86123830202
147.2,2.2,136429.84677297517
147.2,2.6,142809.6759033948
147.2,3.0,149188.29262606354
147.2,3.4,155565.69859565396
147.2,3.8,161946.45328345796
207.2,2.2,136427.43531897676
207.2,2.6,142804.1206285748
207.2,3.0,149179.50926259876
207.2,3.4,155553.60320720728
207.2,3.8,161932.6093753083
327.2,2.2,136421.93074400575
327.2,2.6,142792.1629526916
327.2,3.0,149160.97290436315
327.2,3.4,155528.36305783084
327.2,3.8,161903.77464052703
447.2,2.2,136415.64981854567
447.2,2.6,142779.43823690157
447.2,3.0,149141.6719723123
447.2,3.4,155502.3539617272
447.2,3.8,161874.0942659225
567.2,2.2,136408.58729646448
567.2,2.6,142765.94381493822
567.2,3.0,149121.60075314075
567.2,3.4,155475.56159798533
567.2,3.8,161843.5536606243
687.2,2.2,136408.99132301385
687.2,2.6,142775.3788370345
687.2,3.0,149139.87844529748
687.2,3.4,155502.4942527923
687.2,3.8,161874.40094377263
807.2,2.2,136407.60853975074
807.2,2.6,142778.2010998858
807.2,3.0,149146.7046394702
807.2,3.4,155513.12401499096
807.2,3.8,161886.553272759
927.2,2.2,136405.9182123582
927.2,2.6,142779.60292409267
927.2,3.0,149150.97937924264
927.2,3.4,155520.05330709263
927.2,3.8,161894.44392501446
1047.2,2.2,136404.00162125358
1047.2,2.6,142780.07860796343
1047.2,3.0,149153.60739937355
1047.2,3.4,155524.59477897326
1047.2,3.8,161899.57681188846
1167.2,2.2,136401.90773385344
1167.2,2.6,142779.94046469935
1167.2,3.0,149155.16175586567
1167.2,3.4,155527.57963556197
1167.2,3.8,161902.9037351731
1287.2,2.2,136399.65442170363
1287.2,2.6,142779.36509019314
1287.2,3.0,149155.9752571748
1287.2,3.4,155529.49421290276
1287.2,3.8,161904.98126821846
1407.2,2.2,136397.24212021282
1407.2,2.6,142778.4511683152
1407.2,3.0,149156.24523778513
1407.2,3.4,155530.63168127515
1407.2,3.8,161906.14500511813
1527.2,2.2,136394.66589687223
1527.2,2.6,142777.25826520016
1527.2,3.0,149156.09607217583
1527.2,3.4,155531.17884997622
1527.2,3.8,161906.6080134935
1647.2,2.2,136391.91482682966
1647.2,2.6,142775.82379632705
1647.2,3.0,149155.60809455096
1647.2,3.4,155531.2581435467
1647.2,3.8,161906.5090283522
1767.2,2.2,136388.97354903154
1767.2,2.6,142774.16862678164
1767.2,3.0,149154.83313263816
1767.2,3.4,155530.9504425173
1767.2,3.8,161905.93884755837
1887.2,2.2,136385.82333934604
1887.2,2.6,142772.30201750895
1887.2,3.0,149153.80456598866
1887.2,3.4,155530.30892368336
1887.2,3.8,161904.9562276996
2007.2,2.2,136382.4423903985
2007.2,2.6,142770.2248083847
2007.2,3.0,149152.54215081542
2007.2,3.4,155529.36737537445
2007.2,3.8,161903.5974433241
2127.2,2.2,136378.80605703997
2127.2,2.6,142767.93138807436
2127.2,3.0,149151.05536878784
2127.2,3.4,155528.14550455485
2127.2,3.8,161901.88238591756
2247.2,2.2,136374.8868200408
2247.2,2.6,142765.41118152227
2247.2,3.0,149149.34611641872
2247.2,3.4,155526.65275417748
2247.2,3.8,161899.8187494794
2367.2,2.2,136370.6541404132
2367.2,2.6,142762.64903734386
2367.2,3.0,149147.40990453574
2367.2,3.4,155524.8903039678
2367.2,3.8,161897.40428842301
2487.2,2.2,136366.07428296545
2487.2,2.6,142759.62577515558
2487.2,3.0,149145.23696263036
2487.2,3.4,155522.85242179764
2487.2,3.8,161894.62868852093
2517.2,2.2,136364.87078827346
2517.2,2.6,142758.82653634774
2517.2,3.0,149144.65513791365
2517.2,3.4,155522.29865970806
2517.2,3.8,161893.87645652678
2637.2,2.2,136359.8041369892
2637.2,2.6,142755.44391184626
2637.2,3.0,149142.16531292116
2637.2,3.4,155519.8992320305
2637.2,3.8,161890.62396762235
2757.2,2.2,136354.30106760416
2757.2,2.6,142751.7425990239
2757.2,3.0,149139.39969552823
2757.2,3.4,155517.1900048637
2757.2,3.8,161886.96150209176
2877.2,2.2,136348.31516096086
2877.2,2.6,142747.69036766354
2877.2,3.0,149136.33368003558
2877.2,3.4,155514.14699247334
2877.2,3.8,161882.85685198655
2997.2,2.2,136341.79523494997
2997.2,2.6,142743.2505599898
2997.2,3.0,149132.93805338154
2997.2,3.4,155510.74088989018
2997.2,3.8,161878.2713550751
3117.2,2.2,136334.68487163374
3117.2,2.6,142738.38176022482
3117.2,3.0,149129.17880252257
3117.2,3.4,155506.93695758545
3117.2,3.8,161873.15975217576
3237.2,2.2,136326.92190913917
3237.2,2.6,142733.0373657734
3237.2,3.0,149125.01678466803
3237.2,3.4,155502.69476843718
3237.2,3.8,161867.4698694613
3357.2,2.2,136318.43787696245
3357.2,2.6,142727.16510174857
3357.2,3.0,149120.407284862
3357.2,3.4,155497.96778339957
3357.2,3.8,161861.1421656977
3477.2,2.2,136309.1573331589
3477.2,2.6,142720.70641372155
3477.2,3.0,149115.29948519083
3477.2,3.4,155492.7028781537
3477.2,3.8,161854.10917398793
3597.2,2.2,136298.99705839486
3597.2,2.6,142713.59568472282
3597.2,3.0,149109.63568517342
3597.2,3.4,155486.83955699363
3597.2,3.8,161846.2946309411
3717.2,2.2,136287.8651864412
3717.2,2.6,142705.75934109764
3717.2,3.0,149103.3504225413
3717.2,3.4,155480.309076885
3717.2,3.8,161837.6125045805
3837.2,2.2,136275.66032273904
3837.2,2.6,142697.1149125385
3837.2,3.0,149096.36949877275
3837.2,3.4,155473.03345172113
3837.2,3.8,161827.965934618
3957.2,2.2,136262.27075806409
3957.2,2.6,142687.57011359645
3957.2,3.0,149088.60897370978
3957.2,3.4,155464.92434890868
3957.2,3.8,161817.24594544998
4077.2,2.2,136247.57347257977
4077.2,2.6,142677.02160270445
4077.2,3.0,149079.9737411422
4077.2,3.4,155455.8815520158
4077.2,3.8,161805.32979160582
4197.2,2.2,136231.43271862058
4197.2,2.6,142665.35317724198
4197.2,3.0,149070.35542230814
4197.2,3.4,155445.79056971124
4197.2,3.8,161792.07841056233
4317.2,2.2,136213.69831359026
4317.2,2.6,142652.43347725237
4317.2,3.0,149059.62957475695
4317.2,3.4,155434.519413591
4317.2,3.8,161777.3329640274
4437.2,2.2,136194.2040174794
4437.2,2.6,142638.1134897287
4437.2,3.0,149047.6524491691
4437.2,3.4,155421.91468181228
4437.2,3.8,161760.9104522439
4527.2,2.2,136178.31840575542
4527.2,2.6,142626.35342859896
4527.2,3.0,149037.74899520495
4527.2,3.4,155411.47901975526
4527.2,3.8,161747.36641411457
4647.2,2.2,136155.2894715153
4647.2,2.6,142609.1603226586
4647.2,3.0,149023.1632709062
4647.2,3.4,155396.08854008443
4647.2,3.8,161727.47581368353
4767.2,2.2,136129.94419716188
