Time(s),Depth(m),Pressure(Pa)
0.2,2.2,139145.8623865171
0.2,2.6,146022.50351938873
0.2,3.0,152899.14464888707
0.2,3.4,159775.78577552468
0.2,3.8,166652.71164670872
0.3,2.2,139145.91017875195
0.3,2.6,146022.63192992823
0.3,3.0,152899.33318878297
0.3,3.4,159776.0139557227
0.3,3.8,166652.92079739942
0.4,2.2,139145.90381737475
0.4,2.6,146022.61482417438
0.4,3.0,152899.30762143192
0.4,3.4,159775.98220943514
0.4,3.8,166652.87961275288
0.6,2.2,139145.89740565227
0.6,2.6,146022.59769305613
0.6,3.0,152899.28219258564
0.6,3.4,159775.95090458725
0.6,3.8,166652.8449699671
0.7,2.2,139145.88887860707
0.7,2.6,146022.57491749967
0.7,3.0,152899.2484694439
0.7,3.4,159775.9095348586
0.7,3.8,166652.80291858612
1.0,2.2,139145.87704848763
1.0,2.6,146022.54329818705
1.0,3.0,152899.20167150183
1.0,3.4,159775.85216868465
1.0,3.8,166652.7467194448
1.4,2.2,139145.86264249188
1.4,2.6,146022.50480574023
1.4,3.0,152899.1444753486
1.4,3.4,159775.78165173528
1.4,3.8,166652.67923416715
3.1,2.2,139145.84983925536
3.1,2.6,146022.47164748036
3.1,3.0,152899.09306133114
3.1,3.4,159775.71410930736
3.1,3.8,166652.6081886438
22.9,2.2,139145.7732245321
22.9,2.6,146022.251035838
22.9,3.0,152898.72760172345
22.9,3.4,159775.20292256077
22.9,3.8,166652.00651591364
42.9,2.2,139145.68516839514
42.9,2.6,146022.06699956165
42.9,3.0,152898.4356988751
42.9,3.4,159774.79126882745
42.9,3.8,166651.52716348914
62.9,2.2,139145.56319186516
62.9,2.6,146021.82612318572
62.9,3.0,152898.0704255955
62.9,3.4,159774.2961030269
62.9,3.8,166650.96376662335
82.9,2.2,139145.4151655681
82.9,2.6,146021.54891010333
82.9,3.0,152897.66140414108
82.9,3.4,159773.7526525386
82.9,3.8,166650.35201233532
102.9,2.2,139145.24453708096
102.9,2.6,146021.24448613843
102.9,3.0,152897.2217922269
102.9,3.4,159773.17646151368
102.9,3.8,166649.70752102882
182.9,2.2,139144.3547747602
182.9,2.6,146019.80436998155
182.9,3.0,152895.2287087291
182.9,3.4,159770.62780153874
182.9,3.8,166646.8822728314
202.9,2.2,139144.08165262511
202.9,2.6,146019.39177142805
202.9,3.0,152894.67611176329
202.9,3.4,159769.93468512333
202.9,3.8,166646.11778453633
282.9,2.2,139142.78733377164
282.9,2.6,146017.5339817582
282.9,3.0,152892.25270421043
282.9,3.4,159766.94351647492
282.9,3.8,166642.82150192047
362.9,2.2,139141.17074857763
362.9,2.6,146015.34737427984
362.9,3.0,152889.49376053302
362.9,3.4,159763.60992681968
362.9,3.8,166639.13298938537
442.9,2.2,139139.23439500603
442.9,2.6,146012.8409644202
442.9,3.0,152886.41478964436
442.9,3.4,159759.95589425915
442.9,3.8,166635.0552817745
522.9,2.2,139136.98348900324
522.9,2.6,146010.0320534904
522.9,3.0,152883.04516166798
522.9,3.4,159756.02284101056
522.9,3.8,166630.6263197526
602.9,2.2,139134.7762715221
602.9,2.6,146007.99714455247
602.9,3.0,152881.179615102
602.9,3.4,159754.32370920014
602.9,3.8,166628.7248160375
682.9,2.2,139132.95359585108
682.9,2.6,146006.51481604687
682.9,3.0,152880.0344137732
682.9,3.4,159753.5124124804
682.9,3.8,166627.78799202756
762.9,2.2,139131.34526001388
762.9,2.6,146005.20615461675
762.9,3.0,152879.02194852082
762.9,3.4,159752.79266293015
762.9,3.8,166626.94833767
842.9,2.2,139129.88364169697
842.9,2.6,146003.9967890369
842.9,3.0,152878.06106887024
842.9,3.4,159752.0765004196
842.9,3.8,166626.1086526871
922.9,2.2,139128.52484516776
922.9,2.6,146002.8429573697
922.9,3.0,152877.10812274436
922.9,3.4,159751.32035883196
922.9,3.8,166625.20701514435
1002.9,2.2,139127.23415223416
1002.9,2.6,146001.70329982272
1002.9,3.0,152876.11508308764
1002.9,3.4,159750.46951830832
1002.9,3.8,166624.17159328162
1082.9,2.2,139125.9852639333
1082.9,2.6,146000.5454628887
1082.9,3.0,152875.04351420933
1082.9,3.4,159749.47943326138
1082.9,3.8,166622.96203915082
1162.9,2.2,139124.76328560247
1162.9,2.6,145999.3604288464
1162.9,3.0,152873.89024474402
1162.9,3.4,159748.35274834614
1162.9,3.8,166621.6100693891
1242.9,2.2,139123.55872908028
1242.9,2.6,145998.14791971474
1242.9,3.0,152872.66417376656
1242.9,3.4,159747.1075062527
1242.9,3.8,166620.16571087012
1322.9,2.2,139122.3593130825
1322.9,2.6,145996.89402683784
1322.9,3.0,152871.34972969847
1322.9,3.4,159745.72643694436
1322.9,3.8,166618.6297119508
1402.9,2.2,139121.16025609864
1402.9,2.6,145995.60359775546
1402.9,3.0,152869.9613502111
1402.9,3.4,159744.23352940986
1402.9,3.8,166617.04684716265
1482.9,2.2,139119.9626875096
1482.9,2.6,145994.2965231387
1482.9,3.0,152868.53764445568
1482.9,3.4,159742.68606834373
1482.9,3.8,166615.4759014066
1562.9,2.2,139118.7526042001
1562.9,2.6,145992.94536308417
1562.9,3.0,152867.0376908293
1562.9,3.4,159741.02960561967
1562.9,3.8,166613.79998007359
1642.9,2.2,139117.53065048723
1642.9,2.6,145991.5652371107
1642.9,3.0,152865.49103484722
1642.9,3.4,159739.30806347754
1642.9,3.8,166612.01480448426
1722.9,2.2,139116.3355421704
1722.9,2.6,145990.28451843574
1722.9,3.0,152864.11564815007
1722.9,3.4,159737.82895220065
1722.9,3.8,166610.4487641668
1802.9,2.2,139115.1643063647
1802.9,2.6,145989.10589251725
1802.9,3.0,152862.91981443256
1802.9,3.4,159736.6060931383
1802.9,3.8,166609.0994144593
1882.9,2.2,139113.96093023306
1882.9,2.6,145987.8725535801
1882.9,3.0,152861.64587705926
1882.9,3.4,159735.28092314478
1882.9,3.8,166607.56783052813
1962.9,2.2,139112.68817466826
1962.9,2.6,145986.48382307272
1962.9,3.0,152860.1296576413
1962.9,3.4,159733.62570187965
1962.9,3.8,166605.5951751448
2042.9,2.2,139111.35690173134
2042.9,2.6,145984.98331121274
2042.9,3.0,152858.44743861776
2042.9,3.4,159731.74930898246
2042.9,3.8,166603.27445647723
2122.9,2.2,139109.97381771187
2122.9,2.6,145983.40231614324
2122.9,3.0,152856.6550288192
2122.9,3.4,159729.7319852483
2122.9,3.8,166600.72348858835
2202.9,2.2,139108.53059348313
2202.9,2.6,145981.72732074923
2202.9,3.0,152854.73363787206
2202.9,3.4,159727.54957759287
2202.9,3.8,166598.00014672166
2282.9,2.2,139107.0111245103
2282.9,2.6,145979.9218854154
2282.9,3.0,152852.62639913385
2282.9,3.4,159725.12470316575
2282.9,3.8,166595.03167564882
2362.9,2.2,139105.4252674289
2362.9,2.6,145978.0279661118
2362.9,3.0,152850.40726701866
2362.9,3.4,159722.56321225973
2362.9,3.8,166591.97361431178
2442.9,2.2,139103.8207858696
2442.9,2.6,145976.20188809413
2442.9,3.0,152848.34100744818
2442.9,3.4,159720.2381898815
2442.9,3.8,166589.2341525596
2502.9,2.2,139102.58673829728
2502.9,2.6,145974.82974227244
2502.9,3.0,152846.81581490164
2502.9,3.4,159718.5450019638
2502.9,3.8,166587.2198065534
2582.9,2.2,139100.85490000845
2582.9,2.6,145972.8718305804
2582.9,3.0,152844.61046329033
2582.9,3.4,159716.0708375676
2582.9,3.8,166584.28027854435
2662.9,2.2,139099.01804511657
2662.9,2.6,145970.76261013735
2662.9,3.0,152842.20574300416
2662.9,3.4,159713.34747541897
2662.9,3.8,166581.12494132874
2742.9,2.2,139097.0632673134
2742.9,2.6,145968.47970798457
2742.9,3.0,152839.5696639391
2742.9,3.4,159710.3331621852
2742.9,3.8,166577.70323992876
2822.9,2.2,139094.98307921074
2822.9,2.6,145966.0181395729
2822.9,3.0,152836.69958816833
2822.9,3.4,159707.02744659717
2822.9,3.8,166573.93870090364
2902.9,2.2,139092.76607003418
2902.9,2.6,145963.36241885702
2902.9,3.0,152833.5757831264
2902.9,3.4,159703.40617692206
2902.9,3.8,166569.7923898755
2982.9,2.2,139090.41148521524
2982.9,2.6,145960.5304176496
2982.9,3.0,152830.2345609197
2982.9,3.4,159699.52392000734
2982.9,3.8,166565.4285929749
3062.9,2.2,139087.96227685653
3062.9,2.6,145957.67269528093
3062.9,3.0,152826.9339014698
3062.9,3.4,159695.74587411355
3062.9,3.8,166561.2793452365
3142.9,2.2,139085.4047028003
3142.9,2.6,145954.77145432276
3142.9,3.0,152823.6517600997
3142.9,3.4,159692.04554502288
3142.9,3.8,166557.21308814356
3222.9,2.2,139082.63594027283
3222.9,2.6,145951.54338768442
3222.9,3.0,152819.92408011795
3222.9,3.4,159687.77790164645
3222.9,3.8,166552.3897339304
3302.9,2.2,139079.6188106828
3302.9,2.6,145947.903981592
3302.9,3.0,152815.61873226604
3302.9,3.4,159682.7629153645
3302.9,3.8,166546.52454055398
3382.9,2.2,139076.36273982612
3382.9,2.6,145943.91068800903
3382.9,3.0,152810.84092664326
3382.9,3.4,159677.1532773497
3382.9,3.8,166539.85395572666
3462.9,2.2,139072.87265130144
3462.9,2.6,145939.6098202682
3462.9,3.0,152805.67808323837
3462.9,3.4,159671.07722660428
3462.9,3.8,166532.6365011718
3542.9,2.2,139069.15510336202
3542.9,2.6,145935.05516129857
3542.9,3.0,152800.23090850844
3542.9,3.4,159664.68208718073
3542.9,3.8,166525.1265614343
3622.9,2.2,139065.2091312832
3622.9,2.6,145930.2806961898
3622.9,3.0,152794.5680163085
3622.9,3.4,159658.07077525748
3622.9,3.8,166517.4589354671
3702.9,2.2,139061.00056520908
3702.9,2.6,145925.22375056543
3702.9,3.0,152788.59785988077
3702.9,3.4,159651.12250477108
3702.9,3.8,166509.3995511852
3782.9,2.2,139056.4733178105
3782.9,2.6,145919.7590443417
3782.9,3.0,152782.12554360478
3782.9,3.4,159643.57234704852
3782.9,3.8,166500.53113152363
3862.9,2.2,139051.5816749896
3862.9,2.6,145913.79586069484
3862.9,3.0,152775.01489438684
3862.9,3.4,159635.23821575023
3862.9,3.8,166490.67874616463
3942.9,2.2,139046.31816968654
3942.9,2.6,145907.36202577467
3942.9,3.0,152767.32858065417
3942.9,3.4,159626.2171636793
3942.9,3.8,166480.12583802754
4022.9,2.2,139040.6862911182
4022.9,2.6,145900.5223890412
4022.9,3.0,152759.19235230453
4022.9,3.4,159616.69538909185
4022.9,3.8,166469.11454488442
4102.9,2.2,139034.61514533844
4102.9,2.6,145893.12303033646
4102.9,3.0,152750.36870422342
4102.9,3.4,159606.35122796788
4102.9,3.8,166457.12629297638
4182.9,2.2,139028.0437781763
4182.9,2.6,145885.04459816954
4182.9,3.0,152740.6792482782
4182.9,3.4,159594.9466352242
4182.9,3.8,166443.8340640114
4262.9,2.2,139020.9691054835
4262.9,2.6,145876.34659890336
4262.9,3.0,152730.24550572346
4262.9,3.4,159582.66455353974
4262.9,3.8,166429.6216224306
4342.9,2.2,139013.35533301358
4342.9,2.6,145866.99596462207
4342.9,3.0,152719.0364844337
4342.9,3.4,159569.47541601912
4342.9,3.8,166414.60703913003
4422.9,2.2,139005.16483968313
4422.9,2.6,145856.9600909747
4422.9,3.0,152707.0238892903
4422.9,3.4,159555.35452225554
4422.9,3.8,166398.64374962723
4502.9,2.2,138996.36108811814
4502.9,2.6,145846.21604128493
4502.9,3.0,152694.1976582334
4502.9,3.4,159540.30395156477
4502.9,3.8,166381.56757363942
4582.9,2.2,138986.84403590453
4582.9,2.6,145834.55715700277
4582.9,3.0,152680.24359569102
4582.9,3.4,159523.90104952554
4582.9,3.8,166362.91749419976
4662.9,2.2,138976.55792454132
