Time(s),Depth(m),Pressure(Pa)
0.2,2.2,139145.86297037354
0.2,2.6,146022.50527233494
0.2,3.0,152899.14757396342
0.2,3.4,159775.78987530363
0.2,3.8,166652.73136318894
0.3,2.2,139145.86792807764
0.3,2.6,146022.5189250531
0.3,3.0,152899.1677028544
0.3,3.4,159775.8142616129
0.3,3.8,166652.7142599809
0.4,2.2,139145.8664158206
0.4,2.6,146022.51492895707
0.4,3.0,152899.16159587997
0.4,3.4,159775.80641672545
0.4,3.8,166652.69988687432
0.6,2.2,139145.8652610185
0.6,2.6,146022.5119327232
0.6,3.0,152899.15700481657
0.6,3.4,159775.80047742304
0.6,3.8,166652.69318156873
0.7,2.2,139145.86393635644
0.7,2.6,146022.50853389342
0.7,3.0,152899.15186862845
0.7,3.4,159775.79394070228
0.7,3.8,166652.68918252218
1.0,2.2,139145.86243146626
1.0,2.6,146022.50477406534
1.0,3.0,152899.14632169442
1.0,3.4,159775.78707484284
1.0,3.8,166652.6880863503
1.4,2.2,139145.86100378333
1.4,2.6,146022.50157678511
1.4,3.0,152899.14189709892
1.4,3.4,159775.78196523967
1.4,3.8,166652.69227464686
3.1,2.2,139145.85814212277
3.1,2.6,146022.4967700425
3.1,3.0,152899.13536102208
3.1,3.4,159775.77391508524
3.1,3.8,166652.68948802946
22.9,2.2,139145.79205228775
22.9,2.6,146022.30835934044
22.9,3.0,152898.82453892776
22.9,3.4,159775.34059187747
22.9,3.8,166652.33506968297
42.9,2.2,139145.67216515506
42.9,2.6,146022.03686341498
42.9,3.0,152898.40021925644
42.9,3.4,159774.7622348278
42.9,3.8,166652.00240266838
62.9,2.2,139145.52810185665
62.9,2.6,146021.7334512311
62.9,3.0,152897.93689406026
62.9,3.4,159774.13843384356
62.9,3.8,166651.69451453717
82.9,2.2,139145.3934985313
82.9,2.6,146021.4983016775
82.9,3.0,152897.6009289216
82.9,3.4,159773.70138431044
82.9,3.8,166651.56451009045
102.9,2.2,139145.31119885104
102.9,2.6,146021.4598379965
102.9,3.0,152897.606158783
102.9,3.4,159773.75016486444
102.9,3.8,166651.96429072722
182.9,2.2,139144.6922754878
182.9,2.6,146020.834119321
182.9,3.0,152896.9733771135
182.9,3.4,159773.11005204904
182.9,3.8,166651.44913879147
202.9,2.2,139144.45696008328
202.9,2.6,146020.53532188575
202.9,3.0,152896.61104346561
202.9,3.4,159772.68412846822
202.9,3.8,166650.74666795362
282.9,2.2,139143.45963591043
282.9,2.6,146019.5700998518
282.9,3.0,152895.67770346516
282.9,3.4,159771.7824530492
282.9,3.8,166648.74681977433
362.9,2.2,139142.11448750642
362.9,2.6,146018.19946844465
362.9,3.0,152894.28135124996
362.9,3.4,159770.36015021362
362.9,3.8,166648.77460380152
442.9,2.2,139140.37566601104
442.9,2.6,146016.28743958168
442.9,3.0,152892.19585574677
442.9,3.4,159768.1009509677
442.9,3.8,166647.9863486844
522.9,2.2,139138.43717837462
522.9,2.6,146014.41769058787
522.9,3.0,152890.39456762502
522.9,3.4,159766.36788064305
522.9,3.8,166649.46775090435
