Time(s),Depth(m),Pressure(Pa)
0.2,2.2,139145.86297037356
0.2,2.6,146022.50527233517
0.2,3.0,152899.1475739638
0.2,3.4,159775.789875304
0.2,3.8,166652.73136253026
0.3,2.2,139145.86792794187
0.3,2.6,146022.51892469908
0.3,3.0,152899.16770233714
0.3,3.4,159775.81426098675
0.3,3.8,166652.72034156718
0.4,2.2,139145.8663988995
0.4,2.6,146022.51487876356
0.4,3.0,152899.16151307596
0.4,3.4,159775.80630183834
0.4,3.8,166652.70617448198
0.6,2.2,139145.86522726188
0.6,2.6,146022.5118318792
0.6,3.0,152899.15683736684
0.6,3.4,159775.80024371782
0.6,3.8,166652.69927671427
0.7,2.2,139145.86388851024
0.7,2.6,146022.50839066322
0.7,3.0,152899.151630291
0.7,3.4,159775.79360743373
0.7,3.8,166652.69518499455
1.0,2.2,139145.86237841257
1.0,2.6,146022.5046149984
1.0,3.0,152899.1460567001
1.0,3.4,159775.7867039357
1.0,3.8,166652.69414426372
1.4,2.2,139145.8609673474
1.4,2.6,146022.50146746286
1.4,3.0,152899.14171485996
1.4,3.4,159775.78171020822
1.4,3.8,166652.6986280983
3.1,2.2,139145.85811102838
3.1,2.6,146022.49667680668
3.1,3.0,152899.13520567288
3.1,3.4,159775.7736976648
3.1,3.8,166652.69605830804
22.9,2.2,139145.78963953076
22.9,2.6,146022.30112099694
22.9,3.0,152898.81247520557
22.9,3.4,159775.32370257913
22.9,3.8,166652.3306350701
42.9,2.2,139145.66713019976
42.9,2.6,146022.02176014465
42.9,3.0,152898.37504947535
42.9,3.4,159774.72700040153
42.9,3.8,166651.99298671607
62.9,2.2,139145.52162451297
62.9,2.6,146021.71402432426
62.9,3.0,152897.9045233736
62.9,3.4,159774.09312511678
62.9,3.8,166651.69092622722
82.9,2.2,139145.3901084894
82.9,2.6,146021.48813950276
82.9,3.0,152897.58400285285
82.9,3.4,159773.67770258232
82.9,3.8,166651.60114413602
102.9,2.2,139145.3136041753
102.9,2.6,146021.46706337074
102.9,3.0,152897.61821320592
102.9,3.4,159773.7670572232
102.9,3.8,166652.06350505922
182.9,2.2,139144.6868536309
182.9,2.6,146020.81786552345
182.9,3.0,152896.9463006393
182.9,3.4,159773.07216220684
182.9,3.8,166651.46362472774
202.9,2.2,139144.4534279336
202.9,2.6,146020.5247390099
202.9,3.0,152896.59341998282
202.9,3.4,159772.65947453526
202.9,3.8,166650.7773343027
282.9,2.2,139143.45531523833
282.9,2.6,146019.5571533307
282.9,3.0,152895.6561412661
282.9,3.4,159771.75228582573
282.9,3.8,166648.85425603477
362.9,2.2,139142.10485554667
362.9,2.6,146018.17059110117
362.9,3.0,152894.2332392183
362.9,3.4,159770.2928150883
362.9,3.8,166649.0709344171
442.9,2.2,139140.38487612474
442.9,2.6,146016.31509640394
442.9,3.0,152892.2419725934
442.9,3.4,159768.16554227762
442.9,3.8,166648.75714162402
522.9,2.2,139138.42492741958
522.9,2.6,146014.38096510308
522.9,3.0,152890.33337992302
522.9,3.4,159766.28224548986
522.9,3.8,166650.21859549754
602.9,2.2,139136.0916558012
602.9,2.6,146011.96993977463
602.9,3.0,152887.84429862633
602.9,3.4,159763.7147229
602.9,3.8,166650.71470813738
682.9,2.2,139134.074575464
682.9,2.6,146009.90660975844
682.9,3.0,152885.73439302307
682.9,3.4,159761.55755028612
682.9,3.8,166652.4440741586
762.9,2.2,139132.32545989822
762.9,2.6,146008.17796972417
762.9,3.0,152884.02587449638
762.9,3.4,159759.86880900303
762.9,3.8,166655.85220122238
842.9,2.2,139130.69935242183
842.9,2.6,146006.47767031452
842.9,3.0,152882.2509995938
842.9,3.4,159758.02021142634
842.9,3.8,166656.9828602925
922.9,2.2,139129.19020418086
922.9,2.6,146004.87549209094
922.9,3.0,152880.55537639948
922.9,3.4,159756.22974447306
922.9,3.8,166656.38880966645
1002.9,2.2,139127.82320157657
1002.9,2.6,146003.50980824712
1002.9,3.0,152879.1905609491
1002.9,3.4,159754.87121800252
1002.9,3.8,166656.2683521039
1082.9,2.2,139126.5008263688
1082.9,2.6,146002.13464820205
1082.9,3.0,152877.76212852309
1082.9,3.4,159753.40081858268
1082.9,3.8,166656.57738536687
1162.9,2.2,139125.21545153644
1162.9,2.6,146000.76280708556
1162.9,3.0,152876.3032931835
1162.9,3.4,159751.74350704107
1162.9,3.8,166654.07500924857
1242.9,2.2,139123.91551448853
1242.9,2.6,145999.2677731248
1242.9,3.0,152874.61259115653
1242.9,3.4,159748.86572646064
1242.9,3.8,166649.75241180035
1322.9,2.2,139122.69701214033
1322.9,2.6,145997.9604529404
1322.9,3.0,152873.21583361932
1322.9,3.4,159745.0418783367
1322.9,3.8,166647.84143684543
1402.9,2.2,139121.47973832535
1402.9,2.6,145996.6194637799
1402.9,3.0,152871.75045859313
1402.9,3.4,159741.06950033372
1402.9,3.8,166647.16357232307
1482.9,2.2,139120.27941041777
