Time(s),Depth(m),Pressure(Pa)
0.6,2.2,139137.4297985105
0.6,2.6,146013.98062197096
0.6,3.0,152890.37627145028
0.6,3.4,159766.6167956978
0.6,3.8,166642.94332479863
1.2,2.2,139138.63415052142
1.2,2.6,146017.2093638014
1.2,3.0,152895.1134701405
1.2,3.4,159772.3461434825
1.2,3.8,166649.05710362757
2.6,2.2,139137.10267196788
2.6,2.6,146013.09501451306
2.6,3.0,152889.0325798235
2.6,3.4,159764.91525662292
2.6,3.8,166640.95737704154
30.4,2.2,139136.20949235949
30.4,2.6,146010.4001470638
30.4,3.0,152884.4776777626
30.4,3.4,159758.4396354877
30.4,3.8,166633.51910749104
60.4,2.2,139138.92539534424
60.4,2.6,146017.74747531913
60.4,3.0,152894.78320229868
60.4,3.4,159770.0328125756
60.4,3.8,166645.7299302498
90.4,2.2,139139.7603170542
90.4,2.6,146020.14703142806
90.4,3.0,152897.85456781267
90.4,3.4,159772.87382043435
90.4,3.8,166648.41677999002
120.4,2.2,139139.46769726212
120.4,2.6,146019.5743158406
120.4,3.0,152896.5750691513
120.4,3.4,159770.455717005
120.4,3.8,166645.38986535883
150.4,2.2,139138.68765170232
150.4,2.6,146017.73909298677
150.4,3.0,152893.4474118703
150.4,3.4,159765.80444971425
150.4,3.8,166639.93645688673
210.4,2.2,139136.56489544874
210.4,2.6,146012.69758544455
210.4,3.0,152885.21540255222
210.4,3.4,159754.14098336574
210.4,3.8,166626.46855053763
330.4,2.2,139131.6023135807
330.4,2.6,146001.30663633373
330.4,3.0,152867.05883717668
330.4,3.4,159728.89303477263
330.4,3.8,166597.45773576808
450.4,2.2,139126.1904047309
450.4,2.6,145989.5502818188
450.4,3.0,152848.61789320433
450.4,3.4,159703.43350600338
450.4,3.8,166568.21847791842
570.4,2.2,139120.37920194128
570.4,2.6,145977.55178677372
570.4,3.0,152830.06065781903
570.4,3.4,159677.95331997215
570.4,3.8,166538.95458364562
690.4,2.2,139123.32907370132
690.4,2.6,145991.96290397254
690.4,3.0,152855.34725203054
690.4,3.4,159713.5400591923
690.4,3.8,166579.34646002593
810.4,2.2,139123.6980814
810.4,2.6,145998.31804134112
810.4,3.0,152867.08443959596
810.4,3.4,159730.06214330724
810.4,3.8,166597.8966034991
930.4,2.2,139123.4587802178
930.4,2.6,146002.82095901546
930.4,3.0,152875.74906347733
930.4,3.4,159742.24653688067
930.4,3.8,166611.4570893104
1050.4,2.2,139122.83548610256
1050.4,2.6,146006.22399606404
1050.4,3.0,152882.5916677974
1050.4,3.4,159751.86363352076
1050.4,3.8,166622.0531467854
1170.4,2.2,139121.9385091425
1170.4,2.6,146008.96516116156
1170.4,3.0,152888.32815376486
1170.4,3.4,159759.9112632419
1170.4,3.8,166630.82077941106
1290.4,2.2,139120.82398376643
1290.4,2.6,146011.29814237985
1290.4,3.0,152893.40283866017
1290.4,3.4,159766.99497166448
1290.4,3.8,166638.44734055683
1410.4,2.2,139119.5192829323
1410.4,2.6,146013.37874345452
1410.4,3.0,152898.09613381609
1410.4,3.4,159773.50169858258
1410.4,3.8,166645.37046273812
1530.4,2.2,139118.03505134233
1530.4,2.6,146015.30715824178
1530.4,3.0,152902.5933240853
1530.4,3.4,159779.692350091
1530.4,3.8,166651.88215812144
1650.4,2.2,139116.3712991345
1650.4,2.6,146017.15004629912
1650.4,3.0,152907.02279363663
1650.4,3.4,159785.75111011285
1650.4,3.8,166658.1864278879
1770.4,2.2,139114.52060584666
1770.4,2.6,146018.9526804575
1770.4,3.0,152911.47720726347
1770.4,3.4,159791.81170685304
1770.4,3.8,166664.43209546822
1890.4,2.2,139112.4698153955
1890.4,2.6,146020.74587627378
1890.4,3.0,152916.02574195137
1890.4,3.4,159797.97486101938
1890.4,3.8,166670.73026459588
2010.4,2.2,139110.20089142263
2010.4,2.6,146022.55001776133
2010.4,3.0,152920.7213432188
2010.4,3.4,159804.31881012715
2010.4,3.8,166677.16629805882
2130.4,2.2,139107.69127559237
2130.4,2.6,146024.3773815742
2130.4,3.0,152925.60507691102
2130.4,3.4,159810.9057188068
2130.4,3.8,166683.80701134418
2250.4,2.2,139104.91392713212
2250.4,2.6,146026.23339985817
2250.4,3.0,152930.70868437013
2250.4,3.4,159817.78556059787
2250.4,3.8,166690.70519048144
2370.4,2.2,139101.83714327103
2370.4,2.6,146028.11722715118
2370.4,3.0,152936.0559765503
2370.4,3.4,159824.99838141087
2370.4,3.8,166697.90223613358
2490.4,2.2,139098.42421294947
2490.4,2.6,146030.02181326234
2490.4,3.0,152941.66342217432
2490.4,3.4,159832.57545649045
2490.4,3.8,166705.42962522985
2520.4,2.2,139097.51364058684
2520.4,2.6,146030.49976498605
2520.4,3.0,152943.10716763407
2520.4,3.4,159834.52950517388
2520.4,3.8,166707.36587509132
2640.4,2.2,139093.6204778978
2640.4,2.6,146032.4104151313
2640.4,3.0,152949.0517253401
2640.4,3.4,159842.5930398781
2640.4,3.8,166715.33585283783
2760.4,2.2,139089.28754574538
2760.4,2.6,146034.30119892373
2760.4,3.0,152955.26583414627
2760.4,3.4,159851.05996506932
2760.4,3.8,166723.67147669152
2880.4,2.2,139084.45787151478
2880.4,2.6,146036.1412436639
2880.4,3.0,152961.7396784747
2880.4,3.4,159859.93243316395
2880.4,3.8,166732.37151179457
3000.4,2.2,139079.06656855156
3000.4,2.6,146037.89017223695
3000.4,3.0,152968.45305611557
3000.4,3.4,159869.20146693793
3000.4,3.8,166741.42266100307
3120.4,2.2,139073.03982928483
3120.4,2.6,146039.4966238105
3120.4,3.0,152975.37364921995
3120.4,3.4,159878.84514757775
3120.4,3.8,166750.79761340946
3240.4,2.2,139066.293786931
3240.4,2.6,146040.89651371044
3240.4,3.0,152982.45493543128
3240.4,3.4,159888.82637607938
3240.4,3.8,166760.4525480515
3360.4,2.2,139058.7332343216
3360.4,2.6,146042.01100874227
3360.4,3.0,152989.63370230942
3360.4,3.4,159899.09016009662
3360.4,3.8,166770.32413160818
3480.4,2.2,139050.25019961532
3480.4,2.6,146042.7442245671
3480.4,3.0,152996.82717765833
3480.4,3.4,159909.56044805513
3480.4,3.8,166780.32672195998
3600.4,2.2,139040.72237592365
3600.4,2.6,146042.98063623792
3600.4,3.0,153003.92975708266
3600.4,3.4,159920.13648333514
3600.4,3.8,166790.34851894452
3720.4,2.2,139030.0114154733
3720.4,2.6,146042.58222722117
3720.4,3.0,153010.80936403622
3720.4,3.4,159930.68872561087
3720.4,3.8,166800.2468567229
3840.4,2.2,139017.9610900864
3840.4,2.6,146041.38536801896
3840.4,3.0,153017.30341294757
3840.4,3.4,159941.05428778936
3840.4,3.8,166809.8434519967
3960.4,2.2,139004.3953340779
3960.4,2.6,146039.19745748967
3960.4,3.0,153023.21441243027
3960.4,3.4,159951.03192664546
3960.4,3.8,166818.91910974876
4080.4,2.2,138989.1161863394
4080.4,2.6,146035.79336573367
4080.4,3.0,153028.30525198346
4080.4,3.4,159960.37663008602
4080.4,3.8,166827.2079649466
4200.4,2.2,138971.90165059385
4200.4,2.6,146030.91172456468
4200.4,3.0,153032.29422104894
4200.4,3.4,159968.7938436356
4200.4,3.8,166834.39131616522
4320.4,2.2,138952.5035067053
4320.4,2.6,146024.25113792735
4320.4,3.0,153034.8498407378
4320.4,3.4,159975.93341070568
4320.4,3.8,166840.09112594722
4440.4,2.2,138930.64512961745
4440.4,2.6,146015.4664210894
4440.4,3.0,153035.58562880775
4440.4,3.4,159981.38333916888
4440.4,3.8,166843.8632963021
4500.4,2.2,138918.69862236298
4500.4,2.6,146010.15678100236
4500.4,3.0,153035.13400006422
4500.4,3.4,159983.3274907245
4500.4,3.8,166844.8679962999
4620.4,2.2,138892.5639657367
4620.4,2.6,145997.4341073883
4620.4,3.0,153032.282475277
4620.4,3.4,159985.31983692478
4620.4,3.8,166844.7547738143
4740.4,2.2,138863.13988723027
4740.4,2.6,145981.51007355942
4740.4,3.0,153026.37124684482
4740.4,3.4,159984.28133664417
4740.4,3.8,166841.27017639758
4860.4,2.2,138830.03503067396
4860.4,2.6,145961.86057619404
4860.4,3.0,153016.78312201746
4860.4,3.4,159979.53564003424
4860.4,3.8,166833.68614538247
4980.4,2.2,138792.8219414342
4980.4,2.6,145937.90544947772
4980.4,3.0,153002.8264288499
4980.4,3.4,159970.31887938833
4980.4,3.8,166821.17976502018
5100.4,2.2,138751.03646231443
5100.4,2.6,145909.00819619274
5100.4,3.0,152983.73333524386
5100.4,3.4,159955.77618598237
5100.4,3.8,166802.82880877258
5220.4,2.2,138704.17777894333
5220.4,2.6,145874.47729940558
5220.4,3.0,152958.6600990089
5220.4,3.4,159934.9601002114
5220.4,3.8,166777.6090849385
5340.4,2.2,138651.7087961685
5340.4,2.6,145833.56906444943
5340.4,3.0,152926.68947556085
5340.4,3.4,159906.83131752207
5340.4,3.8,166744.39409112505
5460.4,2.2,138593.05648461956
5460.4,2.6,145785.4918664696
5460.4,3.0,152886.8355188412
5460.4,3.4,159870.2623488467
5460.4,3.8,166701.9576890475
