Time(s),Depth(m),Pressure(Pa)
0.1,2.2,139076.7647597733
0.1,2.6,145873.57763225693
0.1,3.0,152665.73933073872
0.1,3.4,159453.24779020503
0.1,3.8,166283.01901523673
0.2,2.2,139065.89613011418
0.2,2.6,145840.25010966137
0.2,3.0,152609.06587491796
0.2,3.4,159372.4010043655
0.2,3.8,166189.42605273606
0.2,2.2,139062.01758755656
0.2,2.6,145828.40638264726
0.2,3.0,152589.01368701775
0.2,3.4,159343.92720039064
0.2,3.8,166156.51936083962
0.3,2.2,139060.52161964
0.3,2.6,145823.8455611493
0.3,3.0,152581.30446380487
0.3,3.4,159332.99982714068
0.3,3.8,166143.88471376777
0.3,2.2,139059.93303492817
0.3,2.6,145822.05284214218
0.3,3.0,152578.27611378406
0.3,3.4,159328.7104700948
0.3,3.8,166138.92236498193
0.4,2.2,139059.70902517988
0.4,2.6,145821.3721468572
0.4,3.0,152577.1275370223
0.4,3.4,159327.08543617345
0.4,3.8,166137.041832056
0.4,2.2,139059.63684066662
0.4,2.6,145821.155052053
0.4,3.0,152576.76334040766
0.4,3.4,159326.5729888253
0.4,3.8,166136.4493974034
0.5,2.2,139059.6309943603
0.5,2.6,145821.14102990308
0.5,3.0,152576.74352506388
0.5,3.4,159326.55008728252
0.5,3.8,166136.4243321507
0.5,2.2,139059.6572111982
0.5,2.6,145821.22563000565
0.5,3.0,152576.89172337536
0.5,3.4,159326.76708002383
0.5,3.8,166136.6776282637
0.6,2.2,139059.70236153225
0.6,2.6,145821.3689005727
0.6,3.0,152577.14058500415
0.6,3.4,159327.12879926243
0.6,3.8,166137.09905428987
0.6,2.2,139059.7623006174
0.6,2.6,145821.5583437183
0.6,3.0,152577.4692359484
0.6,3.4,159327.60603197722
0.6,3.8,166137.654778224
0.7,2.2,139059.83693658572
0.7,2.6,145821.7938853024
0.7,3.0,152577.877898409
0.7,3.4,159328.19959094177
0.7,3.8,166138.3457861566
0.7,2.2,139059.92828101237
0.7,2.6,145822.0819355512
0.7,3.0,152578.37786543922
0.7,3.4,159328.92613015315
0.7,3.8,166139.19145427656
0.8,2.2,139060.0397601858
0.8,2.6,145822.4332986342
0.8,3.0,152578.98798649598
0.8,3.4,159329.8131933091
0.8,3.8,166140.22381196902
0.8,2.2,139060.17609392127
0.8,2.6,145822.86281915696
0.8,3.0,152579.73409801748
0.8,3.4,159330.8984481063
0.8,3.8,166141.4866561151
0.9,2.2,139060.34347133737
0.9,2.6,145823.38994256145
0.9,3.0,152580.65001201263
0.9,3.4,159332.2311470378
0.9,3.8,166143.0372488362
0.9,2.2,139060.54994329417
0.9,2.6,145824.03994590318
0.9,3.0,152581.7796538883
0.9,3.4,159333.87523981082
0.9,3.8,166144.949932249
1.0,2.2,139060.80604311914
1.0,2.6,145824.84587822523
1.0,3.0,152583.18042248394
1.0,3.4,159335.9142509003
1.0,3.8,166147.32179238036
1.0,2.2,139061.12571870678
1.0,2.6,145825.85146888476
1.0,3.0,152584.92821777696
1.0,3.4,159338.4585666566
1.0,3.8,166150.28111882176
