Time(s),Depth(m),Pressure(Pa)
0.1,2.2,139072.16089002448
0.1,2.6,145872.36323444947
0.1,3.0,152666.9454884282
0.1,3.4,159455.90549983265
0.1,3.8,166286.12512038863
0.2,2.2,139061.78591553523
0.2,2.6,145840.3163409519
0.2,3.0,152612.10174555672
0.2,3.4,159377.22742069414
0.2,3.8,166194.95101960673
0.2,2.2,139058.0558917724
0.2,2.6,145828.84895567628
0.2,3.0,152592.5759442925
0.2,3.4,159349.36668905677
0.2,3.8,166162.7396662798
0.3,2.2,139056.61396783075
0.3,2.6,145824.42321836442
0.3,3.0,152585.05312525228
0.3,3.4,159338.6539197764
0.3,3.8,166150.35168842197
0.3,2.2,139056.04644721656
0.3,2.6,145822.68285558533
0.3,3.0,152582.0964376685
0.3,3.4,159334.44645248525
0.3,3.8,166145.48418421147
0.4,2.2,139055.8301776121
0.4,2.6,145822.02135697045
0.4,3.0,152580.97387693686
0.4,3.4,159332.8508497536
0.4,3.8,166143.63806734228
0.4,2.2,139055.7598027021
0.4,2.6,145821.80870141028
0.4,3.0,152580.61538334636
0.4,3.4,159332.3444888716
0.4,3.8,166143.05318203737
0.5,2.2,139055.75282861135
0.5,2.6,145821.79175949193
0.5,3.0,152580.59107576177
0.5,3.4,159332.31588967916
0.5,3.8,166143.02219444505
0.5,2.2,139055.77619105962
0.5,2.6,145821.86905652808
0.5,3.0,152580.7286337592
0.5,3.4,159332.5200026932
0.5,3.8,166143.2614552209
0.6,2.2,139055.81719132085
0.6,2.6,145822.00168379984
0.6,3.0,152580.96210432868
0.6,3.4,159332.86322744386
0.6,3.8,166143.66258381106
0.6,2.2,139055.87175092564
0.6,2.6,145822.17727897034
0.6,3.0,152581.2707614233
0.6,3.4,159333.31648217817
0.6,3.8,166144.1919475522
0.7,2.2,139055.93965339538
0.7,2.6,145822.39542344486
0.7,3.0,152581.65430787991
0.7,3.4,159333.8799372907
0.7,3.8,166144.84985054153
0.7,2.2,139056.0226630379
0.7,2.6,145822.66186965967
0.7,3.0,152582.12307536879
0.7,3.4,159334.56908551458
0.7,3.8,166145.654403782
0.8,2.2,139056.1238563779
0.8,2.6,145822.9864980855
0.8,3.0,152582.69457167637
0.8,3.4,159335.40985780195
0.8,3.8,166146.63587009226
0.8,2.2,139056.24749518323
0.8,2.6,145823.38294599962
0.8,3.0,152583.39288243698
0.8,3.4,159336.43781998687
0.8,3.8,166147.83574047533
0.9,2.2,139056.3991813361
0.9,2.6,145823.86911157184
0.9,3.0,152584.24957662745
0.9,3.4,159337.69953243798
0.9,3.8,166149.30832231996
0.9,2.2,139056.58621343607
0.9,2.6,145824.46828942306
0.9,3.0,152585.30570532373
0.9,3.4,159339.25549457784
0.9,3.8,166151.12417059136
1.0,2.2,139056.81815626618
1.0,2.6,145825.21097518498
1.0,3.0,152586.61496390976
1.0,3.4,159341.18478412475
1.0,3.8,166153.3754906978
1.0,2.2,139057.10769787265
1.0,2.6,145826.13757498382
1.0,3.0,152588.2484300642
1.0,3.4,159343.59199498632
1.0,3.8,166156.184215379
1.1,2.2,139057.47194677562
1.1,2.6,145827.30249715757
1.1,3.0,152590.30170526294
1.1,3.4,159346.61767754547
1.1,3.8,166159.71415407612
1.1,2.2,139057.93444089638
1.1,2.6,145828.78047473106
1.1,3.0,152592.90592900282
1.1,3.4,159350.4544143713
1.1,3.8,166164.1896919959
1.2,2.2,139058.52836047177
1.2,2.6,145830.67665185969
1.2,3.0,152596.24531287557
1.2,3.4,159355.37236489818
1.2,3.8,166169.9254879654
1.3,2.2,139059.30186562391
1.3,2.6,145833.14329298705
1.3,3.0,152600.5861172751
1.3,3.4,159361.7613911952
1.3,3.8,166177.37541916914
1.3,2.2,139060.3273608686
1.3,2.6,145836.40869199834
1.3,3.0,152606.32664537488
1.3,3.4,159370.20355928421
1.3,3.8,166187.21675720668
1.4,2.2,139061.7184125133
1.4,2.6,145840.82976181974
1.4,3.0,152614.08788677087
1.4,3.4,159381.60420013368
1.4,3.8,166200.50219706103
1.5,2.2,139063.66247025985
1.5,2.6,145846.9932914304
1.5,3.0,152624.88733851668
1.5,3.4,159397.44231501443
1.5,3.8,166218.949995226
1.6,2.2,139066.48825495696
1.6,2.6,145855.9232833074
1.6,3.0,152640.4930801237
1.6,3.4,159420.27821654422
1.6,3.8,166245.5312711607
1.7,2.2,139070.81242472515
1.7,2.6,145869.52866742585
1.7,3.0,152664.18278691903
1.7,3.4,159454.83431542988
1.7,3.8,166285.7175942545
1.9,2.2,139077.8526319336
1.9,2.6,145891.54593360494
1.9,3.0,152702.3210925278
1.9,3.4,159510.21321285333
1.9,3.8,166350.03110466964
2.2,2.2,139089.70186898348
2.2,2.6,145928.29207725666
2.2,3.0,152765.50125240232
2.2,3.4,159601.34094716812
2.2,3.8,166455.64127287484
3.1,2.2,139102.9889719331
3.1,2.6,145969.10164950346
3.1,3.0,152835.04362226801
3.1,3.4,159700.81546800712
3.1,3.8,166570.6331372312
15.3,2.2,139077.58599064127
15.3,2.6,145892.85149121872
15.3,3.0,152707.83154122304
15.3,3.4,159522.52569393758
15.3,3.8,166366.36107220035
35.3,2.2,139059.37130427916
35.3,2.6,145836.4890125844
35.3,3.0,152610.30296342555
35.3,3.4,159380.81422110382
35.3,3.8,166201.99761976974
55.3,2.2,139059.4981254412
55.3,2.6,145835.72779847446
55.3,3.0,152605.91765281907
55.3,3.4,159370.11485709384
55.3,3.8,166188.38795309368
75.3,2.2,139059.9974816118
75.3,2.6,145837.4349475712
75.3,3.0,152607.8458513874
75.3,3.4,159371.34511381533
75.3,3.8,166189.8683149533
115.3,2.2,139062.15681565017
115.3,2.6,145845.33554251507
115.3,3.0,152620.6300878814
115.3,3.4,159388.2151051873
115.3,3.8,166210.00848900728
195.3,2.2,139065.6244356301
195.3,2.6,145859.7081130824
195.3,3.0,152645.08122407732
195.3,3.4,159421.95526081338
195.3,3.8,166250.67773033003
215.3,2.2,139066.14932599908
215.3,2.6,145862.384873051
215.3,3.0,152649.73821322183
215.3,3.4,159428.42739130004
215.3,3.8,166258.58722529263
295.3,2.2,139067.10450043523
295.3,2.6,145870.01557856696
295.3,3.0,152663.39398022045
295.3,3.4,159447.48335331265
295.3,3.8,166282.3273856714
375.3,2.2,139066.62689534854
375.3,2.6,145873.90380671382
375.3,3.0,152671.026937253
375.3,3.4,159458.26638385977
375.3,3.8,166296.5009440557
455.3,2.2,139065.0950200159
455.3,2.6,145875.18075248692
455.3,3.0,152674.50212580975
455.3,3.4,159463.357108365
455.3,3.8,166304.08900219697
535.3,2.2,139062.74838756258
535.3,2.6,145874.5667626231
535.3,3.0,152675.00914927127
535.3,3.4,159464.40335129257
535.3,3.8,166306.99008797196
615.3,2.2,139064.46211531627
615.3,2.6,145886.5873317879
615.3,3.0,152696.57769326022
615.3,3.4,159494.7956519926
615.3,3.8,166343.27612364027
695.3,2.2,139064.72773898244
695.3,2.6,145893.92101976278
695.3,3.0,152710.00898726555
695.3,3.4,159513.40004659139
695.3,3.8,166365.87815822058
775.3,2.2,139065.09999161438
775.3,2.6,145901.63008474675
775.3,3.0,152724.13801626215
775.3,3.4,159533.07831470048
775.3,3.8,166389.70046967157
855.3,2.2,139065.09504045112
855.3,2.6,145908.27234106683
855.3,3.0,152736.48039594985
855.3,3.4,159550.22388264697
855.3,3.8,166410.56541070575
935.3,2.2,139064.77288096907
935.3,2.6,145914.07956459656
935.3,3.0,152747.4338395253
935.3,3.4,159565.3950179351
935.3,3.8,166429.1097417798
1015.3,2.2,139064.15834191692
1015.3,2.6,145919.21937323033
1015.3,3.0,152757.30262148601
1015.3,3.4,159579.02697316444
1015.3,3.8,166445.83276937544
1095.3,2.2,139063.21453297796
1095.3,2.6,145923.74847036015
1095.3,3.0,152766.2454761409
1095.3,3.4,159591.3754450834
1095.3,3.8,166461.03725953368
1175.3,2.2,139061.96440230758
1175.3,2.6,145927.711161978
1175.3,3.0,152774.38463114965
1175.3,3.4,159602.6358965331
1175.3,3.8,166474.9535079356
1255.3,2.2,139060.436040728
1255.3,2.6,145931.14905881457
1255.3,3.0,152781.82266353638
1255.3,3.4,159612.96748098714
1255.3,3.8,166487.76652729348
1335.3,2.2,139058.64830387806
1335.3,2.6,145934.10706985786
1335.3,3.0,152788.64415014326
1335.3,3.4,159622.49946409228
1335.3,3.8,166499.62711737712
1415.3,2.2,139056.6135208244
1415.3,2.6,145936.64447005355
1415.3,3.0,152794.91801592195
1415.3,3.4,159631.33676755318
1415.3,3.8,166510.6557353721
1495.3,2.2,139054.33911901657
1495.3,2.6,145938.80932133624
1495.3,3.0,152800.69991162664
1495.3,3.4,159639.56458607316
1495.3,3.8,166520.94914589403
1575.3,2.2,139051.8287392921
